Row_Number,Script,Original_Defect_Label,Misconfiguration_Label_llm,MisconfigurationFound,RelatedCWE,Reason,verification,note 1 right prediction and 0 is not correct
59,"class neutron::plugins::plumgrid ( $director_server = '127.0.0.1', $director_server_port = '443', $username = $::os_service_default, $password = $::os_service_default, $servertimeout = '99', $connection = 'http://127.0.0.1:35357/v2.0', $admin_password = $::os_service_default, $controller_priv_host = '127.0.0.1', $auth_protocol = 'http', $identity_version = 'v3', $user_domain_name = 'default', $nova_metadata_ip = '127.0.0.1', $nova_metadata_port = '8775', $nova_metadata_subnet = '127.0.0.1/24', $metadata_proxy_shared_secret = $::os_service_default, $connector_type = 'distributed', $l2gateway_vendor = $::os_service_default, $l2gateway_sw_username = $::os_service_default, $l2gateway_sw_password = $::os_service_default, $plumlib_package_ensure = 'present', $package_ensure = 'present', $purge_config = false, ) { include ::neutron::deps include ::neutron::params ensure_resource('file', '/etc/neutron/plugins/plumgrid', { ensure => directory, owner => 'root', group => 'neutron', mode => '0640'} ) package { 'neutron-plugin-plumgrid': ensure => $package_ensure, name => $::neutron::params::plumgrid_plugin_package } package { 'neutron-plumlib-plumgrid': ensure => $plumlib_package_ensure, name => $::neutron::params::plumgrid_pythonlib_package } if $::osfamily == 'debian' { file_line { '/etc/default/neutron-server:neutron_plugin_config': path => '/etc/default/neutron-server', match => '^neutron_plugin_config=(.*)$', line => ""neutron_plugin_config=${::neutron::params::plumgrid_config_file}"", tag => 'neutron-file-line', } } if $::osfamily == 'redhat' { file { '/etc/neutron/plugin.ini': ensure => link, target => $::neutron::params::plumgrid_config_file, tag => 'neutron-config-file', } } resources { 'neutron_plugin_plumgrid': purge => $purge_config, } resources { 'neutron_plumlib_plumgrid': purge => $purge_config, } neutron_plugin_plumgrid { 'plumgriddirector/director_server': value => $director_server; 'plumgriddirector/director_server_port': value => $director_server_port; 'plumgriddirector/username': value => $username; 'plumgriddirector/password': value => $password, secret =>true; 'plumgriddirector/servertimeout': value => $servertimeout; 'database/connection': value => $connection; 'l2gateway/vendor': value => $l2gateway_vendor; 'l2gateway/sw_username': value => $l2gateway_sw_username; 'l2gateway/sw_password': value => $l2gateway_sw_password; } neutron_plumlib_plumgrid { 'keystone_authtoken/admin_user' : value => 'admin'; 'keystone_authtoken/admin_password': value => $admin_password, secret =>true; 'keystone_authtoken/auth_uri': value => ""${auth_protocol}://${controller_priv_host}:35357/${identity_version}""; 'keystone_authtoken/admin_tenant_name': value => 'admin'; 'keystone_authtoken/identity_version': value => $identity_version; 'keystone_authtoken/user_domain_name': value => $user_domain_name; 'plumgridmetadata/enable_pg_metadata' : value => 'true'; 'plumgridmetadata/metadata_mode': value => 'local'; 'plumgridmetadata/nova_metadata_ip': value => $nova_metadata_ip; 'plumgridmetadata/nova_metadata_port': value => $nova_metadata_port; 'plumgridmetadata/nova_metadata_subnet': value => $nova_metadata_subnet; 'plumgridmetadata/metadata_proxy_shared_secret': value => $metadata_proxy_shared_secret; 'connectortype/connector_type': value => $connector_type; } }",1,1,"keystone_authtoken/admin_tenant_name, keystone_authtoken/auth_uri, metadata_proxy_shared_secret, nova_metadata_ip, nova_metadata_subnet",CWE-20,"{'reason': 'Explain why the misconfiguration is not related to the provided CWE', 'related_cwe': 'None', 'is_misconfiguration_related': 'No'}",0,
60,"notice('modular: plumgrid/disable_ovs.pp') file { '/etc/hiera/plugins/plumgrid.yaml': ensure => file, content => 'use_ovs: false', } file_line { 'replace provider ovs with lnx': path => '/etc/astute.yaml', line => ' provider: lnx', match => ' provider: ovs', multiple => true, }",0,1,"file { '/etc/hiera/plugins/plumgrid.yaml': ensure => file, content => 'use_ovs: false', }, file_line {'replace provider ovs with lnx': path => '/etc/astute.yaml', line =>'provider: lnx', match =>'provider: ovs', multiple => true, }",CWE-22:Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"{'reason': 'The path traversal vulnerability in Puppet can occur when puppet modules read user-provided file paths, and the user can provide paths outside of the filesystem tree allowed by the module. Here, the Puppet module astute.yaml reads /etc/astute.yaml, and allows user to specify the value of a variable provider, which is used to set the value of the variable provider in /etc/astute.yaml. The user can potentially specify a path outside of the filesystem tree, such as /etc/astute.yaml/. Thus, when the module reads the user-specified value, the path traversal vulnerability allows a user to set the value of provider in /etc/astute.yaml to a malicious value that the module can execute, without any authentication or authorization', 'related_cwe': 'CWE-22', 'is_misconfiguration_related': 'Yes'}",1,
61,"class ceilometer::agent::auth ( $auth_password, $auth_url = 'http://localhost:5000', $auth_region = $::os_service_default, $auth_user = 'ceilometer', $auth_tenant_name = 'services', $auth_tenant_id = undef, $auth_cacert = undef, $auth_endpoint_type = undef, $auth_user_domain_name = 'default', $auth_project_domain_name = 'default', $auth_type = 'password', ) { if ! $auth_cacert { ceilometer_config { 'service_credentials/ca_file': ensure => absent } } else { ceilometer_config { 'service_credentials/ca_file': value => $auth_cacert } } ceilometer_config { 'service_credentials/auth_url' : value => $auth_url; 'service_credentials/region_name' : value => $auth_region; 'service_credentials/username' : value => $auth_user; 'service_credentials/password' : value => $auth_password, secret => true; 'service_credentials/project_name' : value => $auth_tenant_name; 'service_credentials/user_domain_name' : value => $auth_user_domain_name; 'service_credentials/project_domain_name': value => $auth_project_domain_name; 'service_credentials/auth_type' : value => $auth_type; } if $auth_tenant_id { ceilometer_config { 'service_credentials/project_id' : value => $auth_tenant_id; } } if $auth_endpoint_type { ceilometer_config { 'service_credentials/interface' : value => $auth_endpoint_type; } } }",1,1,"ceilometer_config {\\n'service_credentials/ca_file': value => $auth_cacert}\\\\n, ceilometer_config {\\n'service_credentials/project_domain_name': value => $auth_project_domain_name;\\n, ceilometer_config {\n'service_credentials/project_name' : value => $auth_tenant_name;\n, if $auth_endpoint_type {\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\n ceilometer_config {\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\n'service_credentials/interface' : value => $auth_endpoint_type;\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\n}, if $auth_endpoint_type {\\\\\\\\\\\\\\\\n ceilometer_config {\\\\\\\\n'service_credentials/interface' : value => $auth_endpoint_type;\\\\\\\\\\\\\\\\n}, if $auth_endpoint_type {\\\\\\\\n ceilometer_config {\\\\n'service_credentials/interface' : value => $auth_endpoint_type;\\\\\\\\n}, if $auth_tenant_id {\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\n ceilometer_config {\\\\\\\\\\\\\\\\\\\\n'service_credentials/project_id' : value => $auth_tenant_id;\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\n}, if $auth_tenant_id {\\\\\\\\n ceilometer_config {\\\\n'service_credentials/project_id' : value => $auth_tenant_id;\\\\\\\\n}, if $auth_tenant_id {\\\\n ceilometer_config {\\n'service_credentials/project_id' : value => $auth_tenant_id;\\\\n}, if! $auth_cacert {\\\\n ceilometer_config {\\\\n'service_credentials/ca_file': ensure => absent }\\\\n}",CWE-257,"{'reason': ""This misconfiguration represents a CWE-257 issue where sensitive data may be inadvertently exposed. A password secret variable, $auth_password, was not declared within the scope of the ceilometer_config resource definition, allowing that variable to be treated as a public parameter by default. The ceilometer_config resource has a'secret' parameter, which defines whether to mark a parameter value as secret in the service catalog, i.e., encrypt it with base64. By not explicitly specifying a secret parameter, Puppet defaults to making the parameter value publicly accessible. If sensitive data such as passwords are not marked as secrets, they are more easily exposed, creating a security vulnerability. The misconfiguration could lead to unintended access to sensitive data, such as passwords, which could result in"", 'related_cwe': 'CWE-257', 'is_misconfiguration_related': 'Yes'}",1,
62,"class smashpig( $vhost_name, $dir, ) { include ::php include ::apache include ::git git::clone { 'wikimedia/fundraising/smashpig': directory => $dir, } service::gitupdate { 'smashpig': dir => $dir, type => 'php', update => true, } file { '/etc/fundraising/smashpig.yaml': content => template('smashpig/smashpig.yaml.erb'), require => [ git::clone['wikimedia/fundraising/smashpig'], ], } file { ""${dir}/publichttp/.htaccess"": source => ""${dir}/publichttp/.htaccess.sample"", require => git::clone['wikimedia/fundraising/smashpig'], } php::composer::install { $dir: prefer => 'source', require => git::clone['wikimedia/fundraising/smashpig'], } apache::site { 'payments-listener': ensure => present, content => template('smashpig/apache-site.erb'), require => [ file['/etc/fundraising/smashpig.yaml'], file[""${dir}/publichttp/.htaccess""], class['::apache::mod::rewrite'], ], } mysql::db { 'smashpig': } exec { 'smashpig_schema': command => ""/usr/bin/mysql -uroot -p${mysql::root_password} smashpig -qfsa < ${dir}/schema/001_creatependingtable.sql"", unless => ""/usr/bin/mysql -uroot -p${mysql::root_password} smashpig -qfsane \""select 1 from smashpig.pending\"" | /usr/bin/tail -1 | /bin/grep -q 1"", require => [ git::clone['wikimedia/fundraising/smashpig'], mysql::db['smashpig'], ], } }",0,1,"apache::site { 'payments-listener':\\\\\\\\n ensure => present,\\\\\\\\n content => template('smashpig/apache-site.erb'),\\\\\\\\n require => [ file['/etc/fundraising/smashpig.yaml'], file[, class smashpig(\n $vhost_name,\n $dir,\n), exec {'smashpig_schema':\\\\\\\\\\\\n command => \, file {\\\\\\\\n'${dir}/publichttp/.htaccess':\\\\\\\\n source => \\\\\\\, file {\\\\n '/etc/fundraising/smashpig.yaml':\\\\n content => template('smashpig/smashpig.yaml.erb'),\\\\n require => [ git::clone['wikimedia/fundraising/smashpig'], ],\\\\n}, mysql::db {'smashpig':\\\\\\\\n}, mysql::db {'smashpig':\\\\n}, php::composer::install {\\\\n $dir:\\\\n prefer =>'source',\\\\n require => git::clone['wikimedia/fundraising/smashpig'],\\\\n}, php::composer::install {\\n $dir:, service::gitupdate {'smashpig':\\n\\tdir => $dir,\\n\\ttype => 'php',\\n\\tupdate => true,\\n}","CWE-601, CWE-603","{'reason': ""SmashPig relies heavily on Apache HTTPD server for serving its pages, as well as MySQL to store its transaction data. Since the SmashPig source code is kept in a Git repository, it is important to ensure that the source code is updated regularly and reliably. By allowing the source code to be updated manually or by other means, the SmashPig may experience inconsistencies in the stored transaction data and possibly even security issues. Thus, the SmashPig is vulnerable to attacks on its data and potentially, its overall system performance. To mitigate this risk, SmashPig's developers can create a set of regular automated tests to monitor and ensure the integrity of its source code. These tests should be run at regular intervals and the results should be"", 'related_cwe': 'CWE-601, CWE-603', 'is_misconfiguration_related': 'Yes'}",0,
63,class role::liquidthreads { include ::role::echo include ::role::wikieditor mediawiki::extension { 'liquidthreads': settings => { wglqttalkpages => false } } },0,1,"class role::liquidthreads, include ::role::echo, include ::role::wikieditor, mediawiki::extension { 'liquidthreads': settings => { wglqttalkpages => false } }, settings => { wglqttalkpages => false }",CWE-664,"{'reason': 'The misconfiguration is not related to CWE-664 because the issue exists in the Puppet code but does not exist in the software that is being configured. CWE-664 is a vulnerability that is present in the software that is being configured.', 'related_cwe': 'None', 'is_misconfiguration_related': 'No'}",0,
64,"class packstack::nova::compute::libvirt () { firewall <| |> -> class['::nova::compute::libvirt'] $libvirt_vnc_bind_host = hiera('config_ip_version') ? { 'ipv6' => '::0', default => '0.0.0.0', } $libvirt_virt_type = hiera('config_nova_libvirt_virt_type') if $libvirt_virt_type == 'kvm' { file { '/dev/kvm': owner => 'root', group => 'kvm', mode => '666', } package <| title == 'libvirt' |> -> file['/dev/kvm'] -> service <| title == 'libvirt' |> } class { '::nova::compute::libvirt': libvirt_virt_type => $libvirt_virt_type, vncserver_listen => $libvirt_vnc_bind_host, migration_support => true, libvirt_inject_partition => '-1', } file_line { 'libvirt-guests': path => '/etc/sysconfig/libvirt-guests', line => 'on_boot=ignore', match => '^[\s require => class['::nova::compute::libvirt'], } exec {'virsh-net-destroy-default': onlyif => '/usr/bin/virsh net-list | grep default', command => '/usr/bin/virsh net-destroy default', require => service['libvirt'], } exec {'virsh-net-undefine-default': onlyif => '/usr/bin/virsh net-list --inactive | grep default', command => '/usr/bin/virsh net-undefine default', require => exec['virsh-net-destroy-default'], } $libvirt_debug = hiera('config_debug_mode') if $libvirt_debug { file_line { '/etc/libvirt/libvirt.conf log_filters': path => '/etc/libvirt/libvirtd.conf', line => 'log_filters = ""1:libvirt 1:qemu 1:conf 1:security 3:event 3:json 3:file 1:util""', match => 'log_filters =', notify => service['libvirt'], } file_line { '/etc/libvirt/libvirt.conf log_outputs': path => '/etc/libvirt/libvirtd.conf', line => 'log_outputs = ""1:file:/var/log/libvirt/libvirtd.log""', match => 'log_outputs =', notify => service['libvirt'], } } }",1,1,"file_line { '/etc/libvirt/libvirt.conf log_filters': path => '/etc/libvirt/libvirtd.conf', line => 'log_filters =, libvirt_debug = hiera('config_debug_mode'), log_filters =, log_outputs =, on_boot=ignore, onlyif => '/usr/bin/virsh net-list | grep default', package <| title == 'libvirt' |> -> file['/dev/kvm'] -> service <| title == 'libvirt' |>, path => '/etc/sysconfig/libvirt-guests',","CWE-264, CWE-732","{'reason': 'This misconfiguration is related to CWE-732 because the file_line resource with log_filters=, and log_outputs= could have been configured to prevent a security issue with libvirt. Furthermore, the file_line resource for on_boot=ignore could have been configured to prevent a security issue with libvirt.', 'related_cwe': 'CWE-732', 'is_misconfiguration_related': 'Yes'}",1,
65,"class hardware::highperformance { shared::execonce { ""highperformance"": command => '""c:\windows\system32\powercfg.exe"" -setactive 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c', } }",0,1,"8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c', } }},, c:\\\\\\\\windows\\\\\\\\system32\\\\\\\\powercfg.exe \\\\, c:\\\\windows\\\\system32\\\\powercfg.exe \\\\, command => \\, command => \\\\\\\\, shared::execonce { \, shared::execonce { \\, shared::execonce { \\\\","CWE-200, CWE-732, CWE-77, CWE-79","{'reason': 'Shared::Execonce has been declared for highperformance class.  When a shared::Execonce is defined it will run on all nodes.  It also requires a command to execute.  In this case, that command is running the powercfg.exe program to enable an energy scheme for HighPerformance.  When a script runs on the wrong node, it could cause a Denial of Service if the script uses more resources than available.  In the case of running a malicious script, it could cause unauthorized changes to be applied to a system or compromise its security.', 'related_cwe': 'CWE-200, CWE-732, CWE-77, CWE-79', 'is_misconfiguration_related': 'Yes'}",1,
66,"$server = '10.0.0.100' $domain_name = 'mirantis.com' $name_server = '10.0.0.100' $next_server = '10.0.0.100' $dhcp_start_address = '10.0.0.201' $dhcp_end_address = '10.0.0.254' $dhcp_netmask = '255.255.255.0' $dhcp_gateway = '10.0.0.100' $cobbler_user = 'cobbler' $cobbler_password = 'cobbler' $pxetimeout = '0' $dhcp_interface = 'eth0' stage {'openstack-custom-repo': before => stage['main']} case $::osfamily { 'debian': { class { '::apt': stage => 'openstack-ci-repo' }-> class { '::openstack::repo::apt': key => '420851bc', location => 'http://172.18.66.213/deb', key_source => 'http://172.18.66.213/gpg.pub', origin => '172.18.66.213', stage => 'openstack-ci-repo' } } 'redhat': { class { '::openstack::repo::yum': repo_name => 'openstack-epel-fuel', location => 'http://download.mirantis.com/epel-fuel', key_source => 'https://fedoraproject.org/static/0608b895.txt', stage => 'openstack-custom-repo', } } default: { fail(""unsupported osfamily: ${osfamily} for os ${operatingsystem}"") } } node fuel-cobbler { class { '::cobbler::server': server => $server, domain_name => $domain_name, name_server => $name_server, next_server => $next_server, dhcp_start_address => $dhcp_start_address, dhcp_end_address => $dhcp_end_address, dhcp_netmask => $dhcp_netmask, dhcp_gateway => $dhcp_gateway, dhcp_interface => $dhcp_interface, cobbler_user => $cobbler_user, cobbler_password => $cobbler_password, pxetimeout => $pxetimeout, } class[cobbler::server] -> class[cobbler::distro::centos63_x86_64] class { '::cobbler::distro::centos63_x86_64': http_iso => 'http://172.18.67.168/centos-6.3-x86_64-minimal.iso', ks_url => 'cobbler', } class[cobbler::distro::centos63_x86_64] -> class[cobbler::profile::centos63_x86_64] class { '::cobbler::profile::centos63_x86_64': } package {'python-argparse': } }",1,1,"cobbler::distro::centos63_x86_64 { http_iso = http://172.18.67.168/centos-6.3-x86_64-minimal.iso, ks_url = cobbler, }, http_iso = http://172.18.67.168/centos-6.3-x86_64-minimal.iso, ks_url = cobbler, pxetimeout = 0, python-argparse, server = 10.0.0.100","CWE-20, CWE-310","{'reason': 'The misconfiguration is related to the CWE. This case is specific to the open source community, where a lot of users are not aware of the security risk introduced by the misconfiguration. The open source software developers of the cobbler server did not realize that the source code could potentially be exploited.', 'related_cwe': 'CWE-20, CWE-310', 'is_misconfiguration_related': 'Yes'}",1,
67,"class openstack::ha::nova ( $internal_virtual_ip, $ipaddresses, $public_virtual_ip, $server_names, $public_ssl = false, $public_ssl_path = undef, $internal_ssl = false, $internal_ssl_path = undef, ) { openstack::ha::haproxy_service { internal_virtual_ip => $internal_virtual_ip, ipaddresses => $ipaddresses, public_virtual_ip => $public_virtual_ip, server_names => $server_names, } openstack::ha::haproxy_service { 'nova-api': order => '040', listen_port => 8774, public => true, public_ssl => $public_ssl, public_ssl_path => $public_ssl_path, internal_ssl => $internal_ssl, internal_ssl_path => $internal_ssl_path, require_service => 'nova-api', haproxy_config_options => { 'option' => ['httpchk', 'httplog', 'httpclose', 'http-buffer-request'], 'timeout' => ['server 600s', 'http-request 10s'], 'http-request' => 'set-header x-forwarded-proto https if { ssl_fc }', }, balancermember_options => 'check inter 10s fastinter 2s downinter 3s rise 3 fall 3', } openstack::ha::haproxy_service { 'nova-metadata-api': order => '050', listen_port => 8775, internal_ssl => $internal_ssl, internal_ssl_path => $internal_ssl_path, require_service => 'nova-api', haproxy_config_options => { 'option' => ['httpchk', 'httplog', 'httpclose', 'http-buffer-request'], 'timeout' => 'http-request 10s', }, balancermember_options => 'check inter 10s fastinter 2s downinter 3s rise 3 fall 3', } openstack::ha::haproxy_service { 'nova-novncproxy': order => '170', listen_port => 6080, public => true, public_ssl => $public_ssl, public_ssl_path => $public_ssl_path, internal => false, require_service => 'nova-vncproxy', haproxy_config_options => { 'option' => 'http-buffer-request', 'timeout' => 'http-request 10s', 'http-request' => 'set-header x-forwarded-proto https if { ssl_fc }', }, } }",1,1,"balancermember_options => 'check inter 10s fastinter 2s downinter 3s rise 3 fall 3', haproxy_config_options => { 'option' => ['httpchk', 'httplog', 'httpclose', 'http-buffer-request'], public_ssl => $public_ssl, public_ssl_path => $public_ssl_path, internal_ssl => $internal_ssl, internal_ssl_path => $internal_ssl_path, require_service => 'nova-api', haproxy_config_options => { 'option' => ['httpchk', 'httplog', 'httpclose', 'http-buffer-request']","CWE-119, CWE-200, CWE-264","{'reason': ""the check, inter, fastinter, downinter, rise, and fall keywords have no effect on this statement. They only take effect when the backend is of type HTTP or HTTPS. This statement is related to http and https, however it is not related to a TCP backend. As such, these keywords have no impact on the statement as a whole. However, the inter, downinter, rise, and fall keywords take effect on each check made against a backend. The check keyword is used to determine the backend as 'up' or 'down'. The inter keyword determines the time period between two checks. The fastinter keyword determines the time period between two subsequent checks if a backend's status has changed. The downinter keyword determines the time period"", 'related_cwe': 'CWE-119,CWE-200,CWE-264', 'is_misconfiguration_related': 'Yes'}",1,
68,"class openstack_integration::horizon { include ::openstack_integration::config include ::openstack_integration::params if $::openstack_integration::config::ssl { file { '/etc/openstack-dashboard/ssl': ensure => directory, owner => 'root', mode => '0755', selinux_ignore_defaults => true, require => package['horizon'], } file { '/etc/openstack-dashboard/ssl/private': ensure => directory, owner => 'root', mode => '0755', selinux_ignore_defaults => true, require => file['/etc/openstack-dashboard/ssl'], before => file[""/etc/openstack-dashboard/ssl/private/${::fqdn}.pem""], } openstack_integration::ssl_key { 'horizon': key_path => ""/etc/openstack-dashboard/ssl/private/${::fqdn}.pem"", key_owner => 'root', require => file['/etc/openstack-dashboard/ssl/private'], notify => service['httpd'], } exec['update-ca-certificates'] ~> service['httpd'] } class { '::horizon': secret_key => 'big_secret', allowed_hosts => $::openstack_integration::config::ip_for_url, listen_ssl => $::openstack_integration::config::ssl, ssl_redirect => $::openstack_integration::config::ssl, horizon_cert => $::openstack_integration::params::cert_path, horizon_key => ""/etc/openstack-dashboard/ssl/private/${::fqdn}.pem"", horizon_ca => $::openstack_integration::params::ca_bundle_cert_path, keystone_url => $::openstack_integration::config::keystone_auth_uri, compress_offline => false, } }",0,1,"compress_offline => false,\\\\\\\\\\\\n  notify => Service[openstack_integration::keystone]\\\\\\\\\\\\\\\\n}\\\\\\\\\\\\\\\\n, compress_offline => false,\\\\n  notify => Service[openstack_integration::keystone]\\\\n}\\\\n, horizon_ca => $::openstack_integration::params::ca_bundle_cert_path,\\n  keystone_url => $::openstack_integration::config::keystone_auth_uri,\\n  compress_offline => false,\\\\n  notify => Service[openstack_integration::keystone]\\\\n}\\n, horizon_key => \, horizon_key => \\, keystone_url => $::openstack_integration::config::keystone_auth_uri,\\\\n  compress_offline => false,\\\\\\\\n  notify => Service[openstack_integration::keystone]\\\\\\\\n}\\\\n, notify => Service[openstack_integration::keystone]\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\n}\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\n, openstack_integration::keystone { 'integration':\\n  auth_url => $::openstack_integration::config::keystone_auth_uri,\\n  key => $::openstack_integration::config::keystone_secret,\\n  region_name => $::openstack_integration::config::keystone_region_name,\\n  tenant_name => $::openstack_integration::config::keystone_admin_tenant,\\n  token_url => $::openstack_integration::config::keystone_token_auth_uri,\\n  version => $::openstack_integration::config::keystone_version,\\n  keystone_cert => $::openstack_integration::params::cert_path,\\n  keystone_key => \\\\, openstack_integration::ssl_key { 'horizon':\n  key_path => \, ssl_redirect => $::openstack_integration::config::ssl,\\n  horizon_cert => $::openstack_integration::params::cert_path,\\n  horizon_key => \\","CWE-310, CWE-311","{'reason': 'Not an issue', 'related_cwe': 'None', 'is_misconfiguration_related': 'No'}",0,
69,"class cluster::mysql ( $mysql_user, $mysql_password, $mysql_config = '/etc/mysql/my.cnf', $mysql_socket = '/var/run/mysqld/mysqld.sock', ) { $service_name = 'mysqld' $primitive_class = 'ocf' $primitive_provider = 'fuel' $primitive_type = 'mysql-wss' $complex_type = 'clone' $user_conf = '/etc/mysql/user.cnf' file { $user_conf: owner => 'root', mode => '0600', content => template('cluster/mysql_user.cnf.erb') } -> exec <||> $parameters = { 'config' => $mysql_config, 'test_conf' => $user_conf, 'socket' => $mysql_socket, } $operations = { 'monitor' => { 'interval' => '60', 'timeout' => '55' }, 'start' => { 'interval' => '0', 'timeout' => '330' }, 'stop' => { 'interval' => '0', 'timeout' => '120' }, } $metadata = { 'migration-threshold' => '10', 'failure-timeout' => '30s', 'resource-stickiness' => '100', } $complex_metadata = { 'requires' => 'nothing', } pacemaker::service { $service_name: primitive_class => $primitive_class, primitive_provider => $primitive_provider, primitive_type => $primitive_type, complex_type => $complex_type, complex_metadata => $complex_metadata, metadata => $metadata, parameters => $parameters, operations => $operations, prefix => true, } $init_file_contents = join([ ""set wsrep_on='off';"", ""delete from mysql.user where user='';"", ""grant usage on *.* to '${mysql_user}'@'%' identified by '${mysql_password}';"", ""grant usage on *.* to '${mysql_user}'@'localhost' identified by '${mysql_password}';"", ""flush privileges;"", ], ""\n"") $user_password_string = ""--defaults-extra-file=${user_conf}"" exec { 'create-init-file': path => '/bin:/sbin:/usr/bin:/usr/sbin', command => ""echo \""${init_file_contents}\"" > /tmp/wsrep-init-file"", unless => ""mysql ${user_password_string} -nbe \""select 'ok';\"" | grep -q ok"", require => package['mysql-server'], } ~> exec { 'wait-for-sync': path => '/bin:/sbin:/usr/bin:/usr/sbin', command => ""mysql ${user_password_string} -nbe \""show status like 'wsrep_local_state_comment'\"" | grep -q -e synced && sleep 10"", try_sleep => 10, tries => 60, refreshonly => true, } exec { 'rm-init-file': path => '/bin:/sbin:/usr/bin:/usr/sbin', command => 'rm /tmp/wsrep-init-file', onlyif => 'test -f /tmp/wsrep-init-file', } file { 'fix-log-dir': ensure => directory, path => '/var/log/mysql', mode => '0770', require => package['mysql-server'], } exec['create-init-file'] -> file['fix-log-dir'] -> service<| title == $service_name |> ~> exec['wait-for-sync'] -> exec['rm-init-file'] }",1,1,"exec { 'create-init-file': path => '/bin:/sbin:/usr/bin:/usr/sbin', command => \, exec { 'create-init-file': path => '/bin:/sbin:/usr/bin:/usr/sbin', command => \\, exec['create-init-file'] -> file['fix-log-dir'] -> service<| title == $service_name |> ~> exec['wait-for-sync'], file { $user_conf: owner => 'root', mode => '0600', content => template('cluster/mysql_user.cnf.erb')}, file { 'fix-log-dir': ensure => directory, path => '/var/log/mysql', mode => '0770',",CWE-20,"{'reason': 'Mysql init file is being created and then immediately deleted.', 'related_cwe': 'CWE-20: Improper Input Validation', 'is_misconfiguration_related': 'No'}",0,
70,"class sudoers { include sudoers::settings if $::operatingsystem != 'windows' { include packages::sudo concat { ""/etc/sudoers"" : require => class['packages::sudo'], mode => ""$sudoers::settings::mode"", owner => ""$sudoers::settings::owner"", group => ""$sudoers::settings::group"", } concat::fragment { '00-base': target => ""/etc/sudoers"", content => template(""${module_name}/sudoers-base.erb""); } file { ""/etc/sudoers.d"" : force => true, ensure => absent ; } } }",0,1,"00-base': target => \, content => template(\$module_name/\, ensure => absent ;, file { \\, group => \\\\$sudoers::settings::group\\\\, group => \\\\\\\\\\\\},, include packages::sudo concat {, owner => \\$sudoers::settings::owner\\, owner => \\\\\, sudoers::settings::mode","CWE-252, CWE-265, CWE-269, CWE-295","{'reason': ""The user that is granted sudo privileges through Puppet's sudoers module in the `class sudoers` can execute commands as root on all systems managed by Puppet. The misconfiguration relates to CWE-252 - `Unprotected API` and CWE-295 - `Use of Externally-Provided Input by Out-of-Bounds Write to Buffer`."", 'related_cwe': 'CWE-252, CWE-295', 'is_misconfiguration_related': 'Yes'}",0,
