custom_id,misconfigured_snippet,related_cwe,misconfiguration_label
request-26,"$public_url = 'http://127.0.0.1:8080/v1/auth_%(tenant_id)s', $admin_url = 'http://127.0.0.1:8080', $internal_url = 'http://127.0.0.1:8080/v1/auth_%(tenant_id)s', $public_url_s3 = 'http://127.0.0.1:8080', $admin_url_s3 = 'http://127.0.0.1:8080', $internal_url_s3 = 'http://127.0.0.1:8080'",CWE-319,1
request-27,"class { '::fuel::cobbler': cobbler_user => $::fuel_settings['cobbler']['user'], cobbler_password => $::fuel_settings['cobbler']['password'], ... }",CWE-522,1
request-28,'drivers:management_store:mongodb/ssl_keyfile': value => $ssl_keyfile; 'drivers:management_store:mongodb/ssl_certfile': value => $ssl_certfile; 'drivers:management_store:mongodb/ssl_cert_reqs': value => $ssl_cert_reqs; 'drivers:management_store:mongodb/ssl_ca_certs': value => $ssl_ca_certs;,CWE-319,1
request-29,"command => ""${buildbot_bridge::settings::root}/bin/buildbot-bridge -c ${buildbot_bridge::settings::root}/config.json bblistener""",CWE-78,1
request-29,"command => ""${buildbot_bridge::settings::root}/bin/buildbot-bridge -c ${buildbot_bridge::settings::root}/config.json tclistener""",CWE-78,1
request-29,"command => ""${buildbot_bridge::settings::root}/bin/buildbot-bridge -c ${buildbot_bridge::settings::root}/config.json reflector""",CWE-78,1
request-30,"file {'/var/cache/neutron': ensure => directory, path => '/var/cache/neutron', mode => '0755', owner => neutron, group => neutron, }",CWE-732,1
request-31,"file { $fragdir: ensure => directory, mode => ""0775"", }
file { ""${fragdir}/fragments"": ensure => directory, mode => ""0775"", force => true, ignore => ['.svn', '.git', '.gitignore'], notify => exec[""concat_${name}""], purge => true, recurse => true, source => $source_real, }
file { ""${fragdir}/fragments.concat"": ensure => present, mode => ""0664"", }
file { ""${fragdir}/${concat_name}"": ensure => present, mode => ""0664"", }",CWE-276,1
request-32,"exec { 'create_hdfs_user_directories': command => ""/usr/local/bin/create_hdfs_user_directories.sh --verbose ${groups}"", unless => ""/usr/local/bin/create_hdfs_user_directories.sh --check-for-changes ${groups}"", user => 'hdfs', logoutput => true, }",CWE-78,1
request-33,"file { '/usr/lib/sqoop/lib/mysql-connector-java.jar': ensure => 'link', target => '/usr/share/java/mysql-connector-java.jar', require => [package['sqoop'], package['libmysql-java']], }",CWE-59,1
request-34,"snmp::snmpv3_user { $snmpd_user: authtype => 'md5', authpass => $snmpd_password, }",CWE-327,1
request-35,,,0
request-36,$memcache_servers = $::os_service_default,CWE-200,1
request-37,"file { 'c:/programdata/puppetagain/start-buildbot.bat': content => template(""${module_name}/ec2_start-buildbot.bat.erb""), require => class[instance_metadata]; }",CWE-732,1
request-37,"file { 'c:/programdata/puppetagain/start-buildbot.bat': content => template(""${module_name}/start-buildbot.bat.erb""); }",CWE-732,1
request-37,"file { ""c:/programdata/puppetagain/start-buildbot.xml"": content => template(""buildslave/start-buildbot.xml.erb""); }",CWE-732,1
request-38,,,0
request-39,"$puppet_server_reporturl = ""http://foreman.pvt.build.mozilla.org:3001/""
$puppet_server_facturl = ""http://foreman.pvt.build.mozilla.org:3000/""",CWE-319,1
request-39,"'slavealloc_api_url' => 'http://slavealloc.pvt.build.mozilla.org/api/',",CWE-319,1
request-39,"'moco_ldap_uri' => 'ldap://ldap.db.scl3.mozilla.com/',",CWE-319,1
request-39,"$user_python_repositories = [ ""http://pypi.pvt.build.mozilla.org/pub"", ""http://pypi.pub.build.mozilla.org/pub"" ]",CWE-319,1
request-39,"$shipit_notifier_api_root = ""http://ship-it.mozilla.org""",CWE-319,1
request-39,"$slaveapi_slavealloc_url = ""http://slavealloc.build.mozilla.org/api/""
$slaveapi_buildapi_url = ""http://buildapi.pvt.build.mozilla.org/buildapi/""",CWE-319,1
request-39,"$selfserve_agent_private_url = ""http://buildapi.pvt.build.mozilla.org/buildapi/self-serve""",CWE-319,1
request-39,"$slaverebooter_slaveapi = ""http://slaveapi1.srv.releng.scl3.mozilla.com:8080""",CWE-319,1
request-40,"file { $ssl_private_key: mode => '0440', owner => 'root', group => 'hue', before => service['hue'], }",CWE-266,1
request-41,"package { ""subversion"": ensure => latest; }",CWE-829,1
request-42,useragent => undef,CWE-345,1
request-43,,,0
request-44,"file { '/etc/logrotate.d/apache2': ensure => 'file', owner => 'root', group => 'root', mode => '0644', content => template('osnailyfacter/apache2.logrotate.erb'), require => package['httpd'] }",CWE-732,1
request-44,"file { '/etc/logrotate.d/httpd-prerotate/apache2': ensure => 'file', owner => 'root', group => 'root', mode => '0755', content => template('osnailyfacter/apache2.prerotate.erb'), }",CWE-732,1
request-45,,,0
request-46,"$public_url = 'http://127.0.0.1:8082', $admin_url = 'http://127.0.0.1:8082', $internal_url = 'http://127.0.0.1:8082',",CWE-319,1
request-47,"file { $tftp_root: ensure => directory, owner => 'ironic', group => 'ironic', mode => 755, require => class['ironic'], }",CWE-732,1
request-48,,,0
request-49,"'haproxy.be': key => 'haproxy.be[*]', command => '/etc/zabbix/scripts/haproxy.sh -v $1 $2 $3';",CWE-78,1
request-49,"'haproxy.fe': key => 'haproxy.fe[*]', command => '/etc/zabbix/scripts/haproxy.sh -v $1 $2 $3';",CWE-78,1
request-49,"'haproxy.sv': key => 'haproxy.sv[*]', command => '/etc/zabbix/scripts/haproxy.sh -v $1 $2 $3';",CWE-78,1
request-50,"exec { ""get_jacuzzi_metadata"": require => file[""/usr/local/bin/jacuzzi_metadata.py""], creates => ""/etc/jacuzzi_metadata.json"", user => ""root"", command => ""$python /usr/local/bin/jacuzzi_metadata.py -o /etc/jacuzzi_metadata.json""; }",CWE-78,1
request-50,"exec { ""get_jacuzzi_metadata"": require => file[""/usr/local/bin/jacuzzi_metadata.py""], user => ""root"", command => ""$python /usr/local/bin/jacuzzi_metadata.py -o /etc/jacuzzi_metadata.json""; }",CWE-78,1
request-51,"command => ""git clone ${repo} ${dst_dir}""",CWE-78,1
request-52,"apt::conf { 'allow-unathenticated': content => 'apt::get::allowunauthenticated 0;', }",CWE-693,1
request-53,"$user = $::os_service_default, $group = $::os_service_default",CWE-266,1
request-54,,,0
request-55,,,0
request-56,,,0
request-57,,,0
request-58,,,0
request-59,,,0
request-60,,,0
request-61,grant all privileges on ${jdbc_database}.* to '${jdbc_username}'@'${allowed_host}' identified by '${jdbc_password}';,CWE-266,1
request-61,"command => ""/usr/bin/mysql ${username_option} ${password_option} -e \"" grant all privileges on ${jdbc_database}.* to '${jdbc_username}'@'${allowed_host}' identified by '${jdbc_password}'; flush privileges;\""""",CWE-798,1
request-62,,,0
request-63,$cluster_password = $::pacemaker::new::params::cluster_password,CWE-522,1
request-64,,,0
request-65,$password,CWE-522,1
request-66,,,0
request-67,"$secrets_dir = ""${root}/secrets""",CWE-312,1
request-68,,,0
request-69,'default/metadata_proxy_shared_secret': value => $shared_secret;,CWE-522,1
request-70,,,0
request-71,,,0
request-72,,,0
request-73,,,0
request-74,,,0
request-75,content => template('swift/proxy/tempurl.conf.erb'),CWE-94,1
request-76,"exec { 'reauthenticate-across-all-nodes': command => ""${::pacemaker::pcs_bin} cluster auth ${cluster_members} -u hacluster -p ${::pacemaker::hacluster_pwd} --force"", ... }",CWE-522,1
request-76,"exec { 'auth-successful-across-all-nodes': command => ""${::pacemaker::pcs_bin} cluster auth ${cluster_members} -u hacluster -p ${::pacemaker::hacluster_pwd}"", ... }",CWE-522,1
request-77,$hacluster_pwd = 'changeme',CWE-798,1
request-78,"class cinder::volume::vmdk( $host_ip, $host_username, $host_password, ... )",CWE-256,1
request-79,$database_connection = 'mysql://ceilometer:ceilometer@localhost/ceilometer',CWE-522,1
request-80,"listen_port => 8080,",CWE-200,1
request-81,"command => ""ip route replace default via ${gateway} || true""",CWE-703,1
request-82,,,0
request-83,,,0
request-84,,,0
request-85,"settings => { wgeventserviceurl => 'http://localhost:8085/v1/events', },",CWE-319,1
request-86,"password => hiera('lma::collector::infrastructure_alerting::password'),",CWE-522,1
request-87,,,0
request-88,"firewall { '000 accept all icmp requests': proto => 'icmp', action => 'accept', }",CWE-284,1
request-89,"heka::output::http { ""nagios_afd_${title}"": ensure => $ensure, config_dir => $lma_collector::params::metric_config_dir, url => $url, message_matcher => ""fields[${lma_collector::params::aggregator_flag}] == nil && type == 'heka.sandbox.${message_type}'"", username => $user, password => $password, encoder => ""nagios_afd_${title}"", timeout => $lma_collector::params::nagios_timeout, headers => { 'content-type' => 'application/x-www-form-urlencoded' }, use_buffering => $lma_collector::params::buffering_enabled, max_buffer_size => $lma_collector::params::buffering_max_buffer_size_for_nagios, max_file_size => $lma_collector::params::buffering_max_file_size_for_nagios, queue_full_action => $lma_collector::params::queue_full_action_for_nagios, require => heka::encoder::sandbox[""nagios_afd_${title}""], notify => class['lma_collector::service::metric'], }",CWE-522,1
request-90,,,0
request-91,"resource_params => ""${dest_option} ${src_option} ${nic_option} ${gw_option}""",CWE-78,1
request-92,"$debug = pick($cinder_hash['debug'], hiera('debug', true))",CWE-778,1
request-93,"file { '/etc/my.cnf': owner => 'root', group => 'root', mode => '0644', content => template($config), }",CWE-732,1
request-94,$database_connection = 'sqlite:////var/lib/ironic/ovs.sqlite',CWE-312,1
request-95,,,0
request-96,"file { '/etc/bigswitch/purge_all.sh': ensure => file, source => 'puppet:///modules/bcf/purge_all.sh', }",CWE-434,1
request-96,"exec { 'purge openstack neutron objects': command => 'bash /etc/bigswitch/purge_all.sh', path => '/usr/local/bin/:/usr/bin/:/bin', require => file['/etc/bigswitch/purge_all.sh'] }",CWE-78,1
request-97,"""${name}/netapp_server_port"": value => $netapp_server_port;",CWE-319,1
request-97,"""${name}/netapp_transport_type"": value => $netapp_transport_type;",CWE-319,1
request-98,,,0
request-99,'pxe/tftp_root': value => $tftp_root_real;,CWE-732,1
request-99,'pxe/tftp_master_path': value => $tftp_master_path;,CWE-732,1
request-100,"$charset = 'utf8',
$collate = 'utf8_general_ci',",CWE-176,1
request-101,"file { $trustlevel_file: content => $slave_trustlevel, replace => false, mode => filemode(0500), require => class[dirs::etc], }",CWE-276,1
request-102,,,0
request-103,,,0
request-104,,,0
request-105,"manila_config { ""${share_backend_name}/glusterfs_native_path_to_private_key"": value => $glusterfs_native_path_to_private_key; }",CWE-312,1
request-106,,,0
request-107,"user => 'vagrant',",CWE-250,1
request-108,,,0
request-109,,,0
request-110,'default/cinder_admin_auth_url': value => $cinder_admin_auth_url;,CWE-319,1
request-111,,,0
request-112,"options => $options,  # where $options can be 'allow_other,usetrash,ro' or 'allow_other,usetrash,rw'",CWE-732,1
request-113,"'db_password' => 'ceilometer', 'user_password' => 'ceilometer', 'metering_secret' => 'ceilometer',",CWE-798,1
request-113,"class { 'osnailyfacter::apache': listen_ports => hiera_array('apache_ports', ['0.0.0.0:80', '0.0.0.0:8888', '0.0.0.0:5000', '0.0.0.0:35357', '0.0.0.0:8777']), }",CWE-200,1
request-114,"file { ""/etc/update-motd.d/${script}"": ensure => $ensure, mode => '0555', content => $content, source => $source, notify => exec['update_motd'], }",CWE-732,1
request-115,,,0
request-116,$kibana_replicas = 0,CWE-710,1
request-117,"define nova::manage::network ( $network, $label = 'novanetwork', $num_networks = 1, $network_size = 255, $vlan_start = undef, $project = undef, $allowed_start = undef, $allowed_end = undef, $dns1 = undef, $dns2 = undef )",CWE-284,1
request-118,"exec { 'reset-iscsi-initiator-name': command => '/bin/echo initiatorname=$(/usr/sbin/iscsi-iname) > /etc/iscsi/initiatorname.iscsi', onlyif => '/usr/bin/test ! -f /etc/iscsi/.initiator_reset', before => file['/etc/iscsi/.initiator_reset'], }",CWE-78,1
request-119,"rabbitmq_user_permissions { ""${user}@${vhost}"": configure_permission => '.*', read_permission => '.*', write_permission => '.*', }",CWE-732,1
request-120,$os_password = 'changeme',CWE-798,1
request-120,$os_auth_url = 'http://127.0.0.1:5000/v2.0/',CWE-319,1
request-121,"file { ""/etc/cron.d/aws-manager-update-git-clone"": content => ""*/5 * * * * ${users::buildduty::username} cd ${aws_manager::settings::cloud_tools_dst} && /usr/local/bin/git pull -q 2>&1 | logger -t 'aws-manager-update-git'\n""; }",CWE-494,1
request-122,,,0
request-123,,,0
request-124,,,0
request-125,"package { ""nano"": ensure => latest; ""vim-minimal"": ensure => latest; }",CWE-829,1
request-125,"package { [""nano"", ""vim""]: ensure => latest; }",CWE-829,1
request-126,,,0
request-127,if count($nodes) > 2 { $policy = 'stop' } else { $policy = 'ignore' },CWE-670,1
request-128,,,0
request-129,,,0
request-130,,,0
request-131,database_connection => 'mysql://cinder:secret_block_password@openstack-controller.example.com/cinder',CWE-522,1
request-131,keystone_password => 'cinder_pw',CWE-522,1
request-132,,,0
request-133,"package { 'virtual-accelerator': ensure => 'installed', install_options => ['--allow-unauthenticated'], }",CWE-494,1
request-133,"package { 'virtual-accelerator-addon-mellanox': ensure => 'installed', install_options => ['--allow-unauthenticated'], }",CWE-494,1
request-133,"package { ""6wind-openstack-extensions"": ensure => 'installed', install_options => ['--allow-unauthenticated'], }",CWE-494,1
request-133,"file { '/usr/local/bin/config_va.sh': owner => 'root', group => 'root', mode => 0777, source => 'puppet:///modules/virtual_accelerator/config_va.sh', }",CWE-732,1
request-134,sysctl::value { 'net.ipv4.tcp_retries2': value => $tcp_retries2 },CWE-307,1
request-135,,,0
request-136,hasrestart => false,CWE-250,1
request-137,$privileges = 'all',CWE-266,1
request-138,"fc_passwd_1 => $plugin_settings[""pure_password_1""], fc_passwd_2 => $plugin_settings[""pure_password_2""]",CWE-522,1
request-139,"file { $log_dir: ensure => directory, owner => 'root', group => $group, mode => '0775', require => group[$group], }",CWE-732,1
request-140,,,0
request-141,"python::misc_python_file { ""pip-${python::virtualenv::settings::pip_version}.tar.gz"": ; }",CWE-494,1
request-141,"python::misc_python_file { ""distribute-0.6.24.tar.gz"": ; }",CWE-494,1
request-141,"python::misc_python_file { ""virtualenv.py"": ; }",CWE-494,1
request-142,"'password' => ""\""${password}\""""",CWE-522,1
request-143,"file { ""/usr/local/bin/gittool.py"": source => ""puppet:///modules/packages/gittool.py"", owner => ""$users::root::username"", group => ""$users::root::group"", mode => 0755; }",CWE-732,1
request-144,"mediawiki::user { $selenium_user: password => $selenium_password, }",CWE-522,1
request-144,"env::var { 'mediawiki_password': value => $selenium_password, }",CWE-522,1
request-145,"file { ""/etc/x11/default-display-manager"": ensure => absent, force => true; }",CWE-732,1
request-146,$influxdb_username = 'root',CWE-250,1
request-147,allowed_hosts => '*',CWE-284,1
request-147,"$bind_host = hiera('config_ip_version') ? { 'ipv6' => '::0', default => '0.0.0.0', }",CWE-200,1
request-148,$allow_account_management = true,CWE-284,1
request-148,$account_autocreate = true,CWE-284,1
request-149,,,0
request-150,$influxdb_url = 'http://localhost:8086',CWE-319,1
request-150,$protocol = 'http',CWE-319,1
request-151,"sudoers::custom { 'config_hgrc-from-runner': user => $users::builder::username, runas => 'root', command => ""${runner::settings::taskdir}/${runlevel}-config_hgrc""; }",CWE-269,1
request-152,"command => ""/bin/true set -ex cat > ${keyring_path} << eof [mon.] key = ${key} caps mon = \""allow *\"" eof chmod 0444 ${keyring_path} """,CWE-377,1
request-152,"command => ""/bin/rm ${keyring_path}"", unless => ""/bin/true set -ex test ! -e ${keyring_path} """,CWE-732,1
request-152,"command => ""/bin/true set -ex mon_data=\$(ceph-mon ${cluster_option} --id ${id} --show-config-value mon_data) rm -fr \$mon_data """,CWE-732,1
request-153,"'wsrep_sst_auth' => ""\""root:${mysql_root_password}\"""",",CWE-798,1
request-154,$log_dir = '/var/log/magnum',CWE-732,1
request-155,host => $host,CWE-284,1
request-156,"file {'/etc/default/neutron-server': ensure => present, owner => 'root', group => 'root', mode => 644 }",CWE-732,1
request-156,"exec { 'neutron-db-sync': provider => 'shell', command => ""${command} stamp head"", path => [ '/usr/bin', '/bin' ], onlyif => ""${command} current | grep -qe '^current revision.*none$' "" }",CWE-78,1
request-157,,,0
request-158,,,0
request-159,file { '/reboot_after_puppet': ensure => file; },CWE-732,1
request-160,'api/host_ip': value => $host_ip;,CWE-200,1
request-161,,,0
request-162,,,0
request-163,if $use_ssl { if !$cert_file { fail('the cert_file parameter is required when use_ssl is set to true') } if !$key_file { fail('the key_file parameter is required when use_ssl is set to true') } },CWE-295,1
request-163,"oslo::messaging::rabbit {'nova_config': rabbit_password => $rabbit_password, ... }",CWE-798,1
request-163,"oslo::messaging::rabbit {'nova_config': rabbit_use_ssl => $rabbit_use_ssl, ... }",CWE-319,1
request-163,"oslo::messaging::amqp { 'nova_config': allow_insecure_clients => $amqp_allow_insecure_clients, ... }",CWE-306,1
request-164,"exec { ""fix_mount_permissions_${name}"": command => ""chown -r swift:swift ${mnt_base_dir}/${name}"", path => ['/usr/sbin', '/bin'], subscribe => exec[""mount_${name}""], refreshonly => true, before => anchor['swift::config::end'], }",CWE-78,1
request-165,"shared::execonce { 'test-exec': command => ""/bin/touch /tmp/foo""; }",CWE-78,1
request-166,,,0
request-167,"'timeout server' => '28801s', 'timeout client' => '28801s'",CWE-400,1
request-168,"exec { ""osx_defaults write ${domain} ${key}=>${value}"" : command => ""${defaults_cmd} write ${domain} ${key} ${value}"", unless => ""/bin/test x`${defaults_cmd} read ${domain} ${key}` = x'${value}'"", user => $user, }",CWE-78,1
request-169,,,0
request-170,"file { owner => 'root', group => 'root', mode => '0644', }",CWE-732,1
request-171,"package { [""fonts-kacst-one"", ""fonts-kacst"", ""fonts-liberation"", ""ttf-indic-fonts-core"", ""ttf-kannada-fonts"", ""ttf-dejavu"", ""ttf-oriya-fonts"", ""ttf-punjabi-fonts"", ""ttf-arphic-uming"", ""ttf-paktype"", ""fonts-stix"", ""fonts-unfonts-core"", ""fonts-unfonts-extra"", ""fonts-vlgothic"", ""ttf-sazanami-mincho""]: ensure => latest; }",CWE-829,1
request-172,,,0
request-173,,,0
request-174,"python::virtualenv { ""$db_maintenance_dir"":
  python   => ""${packages::mozilla::python27::python}"",
  require  => class['packages::mozilla::python27'],
  user     => ""${users::builder::username}"",
  group    => ""${users::builder::group}"",
  packages => [
    ""sqlalchemy==0.7.9"",
    ""mysql-python==1.2.3"",
  ];
}",CWE-1104,1
request-175,,,0
request-176,"rabbitmq_user_permissions { 'heat@/': configure_permission => '.*', write_permission => '.*', read_permission => '.*', provider => 'rabbitmqctl', require => class['::rabbitmq'], }",CWE-732,1
request-176,"class { '::heat': rabbit_userid => 'heat', rabbit_password => 'an_even_bigger_secret', rabbit_host => $::openstack_integration::config::ip_for_url, rabbit_use_ssl => $::openstack_integration::config::ssl, rabbit_port => $::openstack_integration::config::rabbit_port, database_connection => 'mysql+pymysql://heat:heat@127.0.0.1/heat?charset=utf8', debug => true, }",CWE-215,1
request-176,"class { '::heat::engine': auth_encryption_key => '1234567890azertyuiopmlkjhgfdsq12', heat_metadata_server_url => ""${::openstack_integration::config::base_url}:8000"", heat_waitcondition_server_url => ""${::openstack_integration::config::base_url}:8000/v1/waitcondition"", heat_watch_server_url => ""${::openstack_integration::config::base_url}:8003"", }",CWE-321,1
request-177,"command => ""python /opt/contrail/utils/provision_mx.py \ --api_server_ip ${contrail::contrail_mgmt_vip} --api_server_port 8082 \ --oper add --router_name ${name} --router_ip ${name} --router_asn ${contrail::asnum} \ --admin_user '${contrail::neutron_user}' --admin_tenant_name '${contrail::service_tenant}' --admin_password '${contrail::service_token}' \ && touch /opt/contrail/prov_external_bgp_${name}-done""",CWE-312,1
request-177,"command => ""python /opt/contrail/utils/provision_control.py \ --api_server_ip ${contrail::contrail_mgmt_vip} --api_server_port 8082 \ --router_asn ${contrail::asnum} \ --admin_user '${contrail::neutron_user}' --admin_tenant_name '${contrail::service_tenant}' --admin_password '${contrail::service_token}' \ && touch /opt/contrail/prov_control_asn-done""",CWE-312,1
request-177,"command => ""python /opt/contrail/utils/provision_control.py \ --api_server_ip ${contrail::contrail_mgmt_vip} --api_server_port 8082 \ --oper add --host_name ${::fqdn} --host_ip ${contrail::address} --router_asn ${contrail::asnum} \ --admin_user '${contrail::neutron_user}' --admin_tenant_name '${contrail::service_tenant}' --admin_password '${contrail::service_token}' \ && touch /opt/contrail/prov_control_bgp-done""",CWE-312,1
request-178,,,0
request-179,"privileges => $privileges,",CWE-266,1
request-180,$version = 'latest',CWE-494,1
request-181,"exec { ""set-resolution"": command => ""/usr/local/bin/screenresolution set $resolution"", unless => ""/usr/local/bin/screenresolution get 2>&1 | /usr/bin/grep 'display 0: $resolution'"", require => class[""packages::mozilla::screenresolution""]; }",CWE-78,1
request-182,"file { $config_file: owner => 0, group => 0, mode => 0644, notify => exec['apt-get-update'], content => template(""packages/sources.list.erb""); }",CWE-732,1
request-182,"file { ""/etc/apt/${repo_name}-pubkey.txt"": source => $gpg_key, owner => 0, group => 0, mode => 0644, notify => exec[""install-${repo_name}-repo-pubkey""], show_diff => false; }",CWE-732,1
request-183,"file { '/etc/rsyslog.d': ... mode => '0755', ... }",CWE-732,1
request-184,,,0
request-185,"mediawiki::extension { 'ldapauthentication': needs_update => true, settings => template('role/wikitech/ldapauth.php.erb'), }",CWE-798,1
request-186,,,0
request-187,"command => ""/bin/true set -ex wget --no-check-certificate ${rgw_keystone_url}/v2.0/certificates/ca -o - | openssl x509 -pubkey | certutil -a -d ${nss_db_path} -n ca -t \""tcu,cu,tuw\"" """,CWE-295,1
request-187,"command => ""/bin/true set -ex wget --no-check-certificate ${rgw_keystone_url}/v2.0/certificates/signing -o - | openssl x509 -pubkey | certutil -a -d ${nss_db_path} -n signing_cert -t \""p,p,p\"" """,CWE-295,1
request-188,"class { 'users::root::account': stage => users, username => $username, group => $group, home => $home; }",CWE-250,1
request-189,,,0
request-190,,,0
request-191,"openstack::ha::haproxy_service { 'ceilometer': order => '140', listen_port => 8777, public => true, public_ssl => $public_ssl, public_ssl_path => $public_ssl_path, internal_ssl => $internal_ssl, internal_ssl_path => $internal_ssl_path, require_service => 'ceilometer-api', haproxy_config_options => { 'option' => ['httplog', 'forceclose', 'http-buffer-request'], 'timeout' => 'http-request 10s', 'http-request' => 'set-header x-forwarded-proto https if { ssl_fc }', }, }",CWE-319,1
request-192,"user => 'vagrant',",CWE-250,1
request-193,"file { '/etc/nginx/nginx.conf': source => 'puppet:///modules/nginx/nginx.conf', }",CWE-276,1
request-193,"file { '/etc/nginx/mime.types': source => 'puppet:///modules/nginx/mime.types', }",CWE-276,1
request-193,"file { '/etc/nginx/sites': ensure => 'directory', }",CWE-276,1
request-193,file { '/etc/logrotate.d/nginx': source => 'puppet:///modules/nginx/logrotate' },CWE-276,1
request-194,"exec { 'eventlogging_virtualenv_pip_install': command => ""${path}/virtualenv/bin/pip install -e ."", cwd => $path, creates => ""${path}/virtualenv/local/lib/python2.7/site-packages/eventlogging.egg-link"", require => [ service::gitupdate['eventlogging'], package['libmysqlclient-dev'], package['librdkafka-dev'] ], }",CWE-78,1
request-195,"file { 'fake_uplink_script': ensure => $ensure_scripts, path => ""${scripts_dir}/create_fake_uplink_l2.sh"", content => template('midonet/gateway/create_fake_uplink_l2.sh.erb'), }",CWE-379,1
request-195,"exec { ""/bin/bash -x ${scripts_dir}/create_fake_uplink_l2.sh 2>&1 | tee /tmp/bash.out"": returns => ['0', '7'], require => [ file['fake_uplink_script'], package['python-midonetclient'], ] }",CWE-732,1
request-196,"exec { 'cgroup-create-impala': command => '/usr/bin/cgcreate -a impala:impala -t impala:impala -g cpu:impala', creates => ""${cgroup_path}/tasks"", require => [package['impala-server'], package['cgroup-bin']], }",CWE-78,1
request-197,"file { ""$homedir_/.pip"": ensure => directory; ""$homedir_/.pip/pip.conf"": content => template(""python/user-pip-conf.erb""); }",CWE-732,1
request-198,"package { ""mercurial"": ensure => ""1.4-3.el6""; }",CWE-494,1
request-198,"package { [""mercurial"", ""mercurial-common""]: ensure => ""2.5.4-0mozilla1""; }",CWE-494,1
request-199,"file { '/root/openrc': owner => 'root', group => 'root', mode => '0700', content => template(""${module_name}/openrc.erb"") }",CWE-359,1
request-200,$privileges = 'all',CWE-266,1
request-201,"class { 'lma_logging_analytics::elasticsearch': listen_address => hiera('lma::elasticsearch::listen_address'), ... }",CWE-200,1
request-202,'service:central/managed_resource_email' : value => $managed_resource_email;,CWE-200,1
request-203,"location => ""http://${mem_user}:${mem_password}@apt.midokura.com/midonet/${mem_version}/stable""",CWE-522,1
request-204,"""auth_url"" => ""http://${management_vip}:5000/v2.0""",CWE-319,1
request-205,"@file { ""/tmp/collection"": content => ""whatever"" }",CWE-377,1
request-206,"service <| tag == 'keystone-service' |> { hasrestart => true, restart => '/bin/true', start => '/bin/true', stop => '/bin/true', }",CWE-693,1
