Row_Number,Script,Original_Defect_Label,Misconfiguration_Label_llm,MisconfigurationFound,RelatedCWE,Reason
331,"define bors::install($basedir, $owner, $group, $version) { include packages::mozilla::python27 python::virtualenv { ""${basedir}"": python => $::packages::mozilla::python27::python, require => class['packages::mozilla::python27'], user => $owner, group => $group, packages => [ ""bors==${version}"", ]; } }",0,1,"],\\n, group => $group,, include packages::mozilla::python27, packages => [ \, python::virtualenv {\\n  \\, python::virtualenv {\n  \, require => Class['packages::mozilla::python27'],, require => class['packages::mozilla::python27'],, user => $owner,, },",CWE-352,"{'reason': ""The user input of the variable'version' is not validated before being passed to the package parameter of the resource 'python::virtualenv'. Any user-supplied input in the value of'version' will be passed directly to the 'bors==version' package as part of the python::virtualenv resource, and could allow a malicious actor to install arbitrary packages on the system. This could allow attackers to gain additional permissions on the system or install additional malicious packages in a vulnerable environment.\\n\\nCWE-352 details that untrusted input is not checked, and can have negative consequences such as privilege escalation or additional malware installation."", 'related_cwe': 'CWE-352', 'is_misconfiguration_related': 'Yes'}"
332,"define osnailyfacter::credentials_file( $admin_password, $path = $title, $controller_node = '127.0.0.1', $auth_url = 'http://127.0.0.1:5000/v2.0', $keystone_admin_token = undef, $admin_user = 'admin', $admin_tenant = 'openstack', $region_name = 'regionone', $use_no_cache = true, $cinder_endpoint_type = 'internalurl', $glance_endpoint_type = 'internalurl', $keystone_endpoint_type = 'internalurl', $nova_endpoint_type = 'internalurl', $neutron_endpoint_type = 'internalurl', $os_endpoint_type = 'internalurl', $murano_repo_url = undef, $cacert = undef, $murano_glare_plugin = undef, $owner = 'root', $group = 'root', ) { file { ""${path}"": owner => $owner, group => $group, mode => '0700', content => template(""${module_name}/openrc.erb"") } }",0,1,"cacert = undef,, file { \, keystone_admin_token = undef,, keystone_endpoint_type = 'internalurl',, murano_glare_plugin = undef,, murano_repo_url = undef,, neutron_endpoint_type = 'internalurl',, nova_endpoint_type = 'internalurl',, os_endpoint_type = 'internalurl',, template(","CWE-287, CWE-310, CWE-798","{'reason': ""OpenRC files are used by OSNailyFacter to connect to OpenStack's Identity Service. They can be created using the credentials_file defined type. Credentials_file type generates OpenRC files for connecting to the OpenStack service (nova, cinder, glance, neutron, murano, osnailyfacter, barbican, magnum, designate, heat, swift, octavia, keystone, murano_glare_plugin). The openrc configuration in this instance is missing the value of cacert. Cacert is a value used in OpenRC files to specify the path to a certificate. The cacert value is used to validate the server certificate on the server side when accessing OpenStack services. The cacert value is set"", 'related_cwe': 'CWE-287, CWE-310, CWE-798', 'is_misconfiguration_related': 'Yes'}"
333,"class ceilometer::expirer ( $enable_cron = true, $minute = 1, $hour = 0, $monthday = '*', $month = '*', $weekday = '*', ) { include ::ceilometer::params package<| title == 'ceilometer-common' |> -> class['ceilometer::expirer'] if $enable_cron { cron { 'ceilometer-expirer': command => $ceilometer::params::expirer_command, environment => 'path=/bin:/usr/bin:/usr/sbin shell=/bin/sh', user => 'ceilometer', minute => $minute, hour => $hour, monthday => $monthday, month => $month, weekday => $weekday } } }",1,1,"class ceilometer::expirer ( $enable_cron = true, $minute = 1, $hour = 0, $monthday = '*', $month = '*', $weekday = '*', ) {, cron { 'ceilometer-expirer': command => $ceilometer::params::expirer_command, environment => 'path=/bin:/usr/bin:/usr/sbin shell=/bin/sh', user => 'ceilometer', minute => $minute, hour => $hour, monthday => $monthday, month => $month, weekday => $weekday }, include ::ceilometer::params, package<| title == 'ceilometer-common' |> -> class['ceilometer::expirer']","CWE-232, CWE-622, CWE-732, CWE-932","{'reason': ""This misconfiguration can be related to CWE-622. Because it involves the use of the environment keyword which allows to pass a list of environment variables to the script executed by the cron job, in this case it's ceilometer-expirer. It allows anyone to modify this list of variables, and by doing that, it can potentially alter the output of ceilometer-expirer. Therefore, it can lead to CWE-622."", 'related_cwe': 'CWE-622', 'is_misconfiguration_related': 'Yes'}"
334,class toplevel::server::mozmill_ci inherits toplevel::server { include users::builder },0,1,class toplevel::server::mozmill_ci inherits toplevel::server { include users::builder },"CWE-20, CWE-77, CWE-93","{'reason': 'CWE-20', 'related_cwe': 'CWE-20', 'is_misconfiguration_related': 'Yes'}"
335,"class osnailyfacter::apache_mpm inherits ::osnailyfacter::apache { if ($::memorysize_mb + 0) < 4100 { $maxclients = 100 } else { $maxclients = inline_template('<%= integer(@memorysize_mb.to_i / 10) %>') } if ($::processorcount + 0) <= 2 { $startservers = 2 } else { $startservers = $::processorcount } $maxrequestsperchild = 0 $threadsperchild = 25 $minsparethreads = 25 $serverlimit = inline_template('<%= integer(@maxclients.to_i / @threadsperchild.to_i) %>') $maxsparethreads = inline_template('<%= integer(@maxclients.to_i / 2) %>') if $::osfamily == 'redhat' { $mpm_module = 'event' } else { $mpm_module = 'worker' file { [ ""$::apache::params::mod_enable_dir/mpm_event.load"", ""$::apache::params::mod_enable_dir/mpm_event.conf"" ]: ensure => 'absent', require => package['httpd'], notify => service['httpd'], } } class { ""::apache::mod::$mpm_module"": startservers => $startservers, maxclients => $maxclients, minsparethreads => $minsparethreads, maxsparethreads => $maxsparethreads, threadsperchild => $threadsperchild, maxrequestsperchild => $maxrequestsperchild, serverlimit => $serverlimit, } }",1,1,"file { [, if $::osfamily =='redhat' { $mpm_module = 'event' } else { $mpm_module = 'worker' file { [, if $::osfamily =='redhat' { $mpm_module = 'event' } else { $mpm_module = 'worker' } file { [, if ($::processorcount + 0) < 2 { $startservers = 2 } else { $startservers = $::processorcount }, if ($::processorcount + 0) < 2 { $startservers = 2 } else { $startservers = $::processorcount } class {, if ($::processorcount + 0) < 2 { $startservers = 2 } else { $startservers = $::processorcount } class { '::apache::mod::$mpm_module':, if ($::processorcount + 0) < 2 { $startservers = 2 } else { $startservers = $::processorcount } class { '::apache::mod::$mpm_module': startservers => $startservers,, if ($::processorcount + 0) <= 2 { $startservers = 2 } else { $startservers = $::processorcount }, maxrequestsperchild => $maxrequestsperchild,, minsparethreads => $minsparethreads, maxsparethreads => $maxsparethreads,","CWE-327, CWE-426","{'reason': ""1. When running Apache with a high number of threads, it is essential to monitor the available memory and processor resources on the machine, as exceeding these limitations may result in poor performance, errors, or even application crashes. This module allows us to set up an appropriate number of threads based on the machine's specifications. Additionally, by setting a limit on the number of clients, we ensure that Apache does not overload the machine. \\n\\n2. When setting the MPM Module, we must ensure that we are using the correct MPM Module based on the operating system. In this case, we need to specify the event module for RedHat machines and the worker module for non-RedHat machines. Failing to do so could result in errors"", 'related_cwe': 'CWE-327, CWE-426', 'is_misconfiguration_related': 'Yes'}"
336,"define nova::generic_service( $package_name, $service_name, $enabled = true, $manage_service = true, $ensure_package = 'present' ) { include ::nova::deps include ::nova::params $nova_title = ""nova-${name}"" if ($package_name) { if !defined(package[$nova_title]) and !defined(package[$package_name]) { package { $nova_title: ensure => $ensure_package, name => $package_name, tag => ['openstack', 'nova-package'], } } } if $service_name { if $manage_service { if $enabled { $service_ensure = 'running' } else { $service_ensure = 'stopped' } } service { $nova_title: ensure => $service_ensure, name => $service_name, enable => $enabled, hasstatus => true, tag => 'nova-service', } } }",1,1,"hasstatus => true, tag => 'nova-service', }, if $enabled {, if $manage_service {, if!defined(package[$nova_title]) and!defined(package[$package_name]) {, include ::nova::deps, include ::nova::params, package { $nova_title: ensure => $ensure_package, name => $package_name, tag => ['openstack', 'nova-package'], }, service { $nova_title: ensure => $service_ensure, name => $service_name, enable => $enabled, hasstatus => true, tag => 'nova-service', }",CWE-22,"{'reason': 'If a user can see the service status, then they can restart it by creating a Puppet transaction (as per https://docs.puppet.com/puppet/4.8/docs/reference/transaction.html). This could allow an attacker to interrupt or stop services in unexpected ways. Since this is a security vulnerability, it is important to avoid any vulnerabilities that can be related to CWE-22.', 'related_cwe': 'CWE-22', 'is_misconfiguration_related': 'Yes'}"
337,"class disableservices::release_upgrader { case $::operatingsystem { ubuntu: { file { ""/etc/update-manager/release-upgrades"": content => ""[default]\nprompt=never\n""; } } default: { notice(""don't know how to disable release ugprader on $::operatingsystem."") } } }",0,1,"content => \, content => \\, default: { notice(\\\\\\\\\\, default: { notice(\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\, don\\\\\\\\\\\\\\, don\\\\\\\\\\\\\\\\\\\\\\\\\\, don\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\, don\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\, file { \, notice(\\\\\",CWE-295,"{'reason': ""The provided code snippet is intended to disable the Ubuntu 'Do Not Disturb' mode for release upgrades. However, due to the way it's implemented, the misconfiguration introduced could introduce the possibility of an unintended DoS attack."", 'related_cwe': 'CWE-295', 'is_misconfiguration_related': 'Yes'}"
338,"define manila::backend::glusternative ( $glusterfs_servers, $glusterfs_native_path_to_private_key, $glusterfs_volume_pattern, $share_backend_name = $name, $package_ensure = 'present', ) { include ::manila::params $share_driver = 'manila.share.drivers.glusterfs_native.glusterfsnativesharedriver' manila_config { ""${share_backend_name}/share_backend_name"": value => $share_backend_name; ""${share_backend_name}/share_driver"": value => $share_driver; ""${share_backend_name}/glusterfs_servers"": value => $glusterfs_servers; ""${share_backend_name}/glusterfs_native_path_to_private_key"": value => $glusterfs_native_path_to_private_key; ""${share_backend_name}/glusterfs_volume_pattern"": value => $glusterfs_volume_pattern; } package { $::manila::params::gluster_package_name: ensure => $package_ensure, } package { $::manila::params::gluster_client_package_name: ensure => $package_ensure, } }",0,value,value,value,"{'reason': 'the reason', 'related_cwe': 'the related CWE', 'is_misconfiguration_related': 'Yes/No'}"
339,"class tripleo::profile::base::trove::api ( $bootstrap_node = hiera('bootstrap_nodeid', undef), $step = hiera('step'), ) { if $::hostname == downcase($bootstrap_node) { $sync_db = true } else { $sync_db = false } if $step >= 3 and $sync_db { include ::trove::db::mysql } if $step >= 4 or ($step >= 3 and $sync_db) { include ::trove include ::trove::config include ::trove::api } }",0,1,"if $step >= 3 and $sync_db {, if $step >= 4 or ($step >= 3 and $sync_db) {, include ::trove, include ::trove::api, include ::trove::config",CWE-732,"{'reason': 'The vulnerability arises from the inclusion of the ::trove::api class in the final state of the puppet catalog. This class contains a set of functions that interact with the database. It is the responsible for creating the database, tables and users, and it is therefore responsible for defining the role of the users, that is, to perform the required operations. If an attacker had access to the database, they would be able to execute arbitrary queries, which would allow them to manipulate the database. The trove::api class is part of the ::trove::config class, which is responsible for defining the configuration parameters of the trove services. If an attacker had access to the database, they would be able to manipulate the configuration parameters, which would', 'related_cwe': 'CWE-732', 'is_misconfiguration_related': 'Yes'}"
340,"class { '::aodh': } class { '::aodh::keystone::authtoken': password => 'a_big_secret', } class { '::aodh::api': enabled => true, service_name => 'httpd', } include ::apache class { '::aodh::wsgi::apache': ssl => false, } class { '::aodh::auth': auth_password => 'a_big_secret', } class { '::aodh::evaluator': } class { '::aodh::notifier': } class { '::aodh::listener': } class { '::aodh::client': }",0,1,"a_big_secret, auth_password => 'a_big_secret',, enabled => true, httpd, service_name => 'httpd',, ssl => false","CWE-252, CWE-254, CWE-732, CWE-787","{'reason': 'This misconfiguration could lead to unauthorized access to the misconfigured resource.', 'related_cwe': 'CWE-252, CWE-254, CWE-732, CWE-787', 'is_misconfiguration_related': 'Yes'}"
341,"define mercurial::repo($hg_repo, $dst_dir, $user, $branch="""", $rev="""") { include packages::mozilla::py27_mercurial if ($branch == '' and $rev == '') { fail('must specify one of rev or branch') } $branch_arg = $branch ? { '' => '', default => ""-b ${branch}"" } $rev_arg = $rev ? { '' => '', default => ""-r ${rev}"" } exec { ""clone-${dst_dir}"": require => class['packages::mozilla::py27_mercurial'], command => ""${::packages::mozilla::py27_mercurial::mercurial} clone ${branch_arg} ${rev_arg} ${hg_repo} ${dst_dir}"", creates => ""${dst_dir}"", user => $user; } }",0,1,"command => \\\\\\, command => \\\\\\\\\\\\\, creates => \\\\\\\\\, define mercurial::repo(\n    \$hg_repo,\n    \$dst_dir,\n    \$user,\n    \$branch=\, execute('chown -R $user:$user $::profile_dir'), if (\\$branch == '' and \\$rev == '') {\\n    fail('must specify one of rev or branch')\\n  }\\n\\$branch_arg = \\$branch? { '' => '', default => \\\, if (\\\\$branch == '' and \\\\$rev == '') {\\\\n    fail('must specify one of rev or branch')\\\\n  }\\\\n\\\\$branch_arg = \\\\$branch? { '' => '', default => \\\\\, user => \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\, user => \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\, user => \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\",CWE-306,"{'reason': 'There is no reference to the CWE related to the issue. A similar issue, but with a more specific description can be found at https://www.cvedetails.com/cve/CVE-2022-24713/. Please refer to this misconfiguration report for more details on the nature of the issue.', 'related_cwe': 'None', 'is_misconfiguration_related': 'No'}"
342,"define oslo::versionedobjects( $fatal_exception_format_errors = $::os_service_default, ) { create_resources($name, {'oslo_versionedobjects/fatal_exception_format_errors' => { value => $fatal_exception_format_errors }}) }",0,1,"create_resources($name, {'oslo_versionedobjects/fatal_exception_format_errors' => { value => $fatal_exception_format_errors }}), fatal_exception_format_errors = $::os_service_default,), oslo::versionedobjects( $fatal_exception_format_errors = $::os_service_default, ) { create_resources($name, {'oslo_versionedobjects/fatal_exception_format_errors' => { value => $fatal_exception_format_errors }}) }, oslo_versionedobjects( $fatal_exception_format_errors = $::os_service_default, ) { create_resources($name, {'oslo_versionedobjects/fatal_exception_format_errors' => { value => $fatal_exception_format_errors }}) }, versionedobjects( $fatal_exception_format_errors = $::os_service_default, ) { create_resources($name, {'oslo_versionedobjects/fatal_exception_format_errors' => { value => $fatal_exception_format_errors }}) }","CWE-131, CWE-132, CWE-20, CWE-22, CWE-26, CWE-327, CWE-330, CWE-369, CWE-399, CWE-401","{'reason': 'CWE-22: This misconfiguration was flagged because the script allows users to manually configure an environment variable with a default value. This is a potential issue because it can allow users to run into errors by using incorrect configuration values. CWE-131: This misconfiguration was flagged because the script allows users to manually configure an environment variable with a default value. This is a potential issue because it can allow users to run into errors by using incorrect configuration values. CWE-401: This misconfiguration was flagged because the script allows users to manually configure an environment variable with a default value. This is a potential issue because it can allow users to run into errors by using incorrect configuration values. CWE-22: This misconfiguration was flagged because the script allows users', 'related_cwe': 'CWE-22, CWE-131, CWE-401', 'is_misconfiguration_related': 'Yes'}"
343,class { '::osnailyfacter::hosts::hosts' :},1,1,class { '::osnailyfacter::hosts::hosts' :},CWE-248,"{'reason': 'The class declaration does not have any parameters in the code, which means it does not contain any actual values that could lead to a misconfiguration or vulnerability.', 'related_cwe': 'None', 'is_misconfiguration_related': 'No'}"
344,class { '::osnailyfacter::apache::apache' :} class { '::osnailyfacter::upgrade::restart_services' :},1,0,nan,CWE-1001,"{'reason': 'The `1` parameter in this script causes a vulnerability that allows an attacker to perform a remote code execution on the web server', 'related_cwe': 'CWE-1001', 'is_misconfiguration_related': 'Yes'}"
345,"class role::memcached { include ::memcached include ::memcached::php mediawiki::settings { 'memcached': values => template('role/memcached/conf.php.erb'), } }",0,1,"class role::memcached { include ::memcached include ::memcached::php, mediawiki::settings {'memcached': values => template('role/memcached/conf.php.erb'), }",CWE-312,"{'reason': 'This misconfiguration was not related to CWE-312. The misconfiguration involved the incorrect use of an include function, which is unrelated to the CWE.', 'related_cwe': 'None', 'is_misconfiguration_related': 'No'}"
346,"class nrpe::check::buildbot { include nrpe::settings $plugins_dir = $nrpe::settings::plugins_dir nrpe::check { 'check_buildbot': cfg => ""$plugins_dir/check_procs -w 1:1 --argument-array=buildbot.tac"", nsclient_cfg => ""check_buildbot=inject checkprocstate showall python.exe=started""; } }",0,1,"cfg =>, class nrpe::check::buildbot { include nrpe::settings $plugins_dir = $nrpe::settings::plugins_dir nrpe::check { 'check_buildbot': cfg => \, include nrpe::settings $plugins_dir = $nrpe::settings::plugins_dir nrpe::check { 'check_buildbot': cfg =>, nrpe::check { 'check_buildbot': cfg =>, nsclient_cfg =>, python.exe=started",CWE-352,"{'reason': 'This misconfiguration is caused by an injection vulnerability. The buildbot.tac argument contains user input. This argument is used to create the plugin name and is not sanitized. The plugin name is the value used in the file /etc/nagios/nrpe.d/buildbot.tac to determine which plugin will be executed on the remote host. The script lacks proper input validation and may result in an injection. An unauthenticated remote attacker can send any arbitrary commands to the remote host by executing the buildbot.tac file with the desired arguments. Therefore, an attacker could cause a denial of service attack or even gain root access on the remote host. The provided CWE ID for this issue is CWE-352 (Uncontrolled Format String)', 'related_cwe': 'CWE-352', 'is_misconfiguration_related': 'Yes'}"
347,"class zaqar::params { include ::openstacklib::defaults $client_package = 'python-zaqarclient' case $::osfamily { 'redhat': { $package_name = 'openstack-zaqar' $service_name = 'openstack-zaqar' } 'debian': { $package_name = 'zaqar' $service_name = 'zaqar' } default: { fail(""unsupported osfamily: ${::osfamily} operatingsystem: \ ${::operatingsystem}, module ${module_name} only support osfamily \ redhat and debian"") } } }",0,1,"class zaqar::params { include ::openstacklib::defaults, include ::openstacklib::defaults","CWE-119, CWE-129","{'reason': 'The misconfiguration is related to both CWE-119 (Improper Restriction of Write-able Control Character Sequence) and CWE-129 (Improper Restriction of XML External Entity Reference)', 'related_cwe': 'CWE-119, CWE-129', 'is_misconfiguration_related': 'Yes'}"
348,"class tripleo::network::os_net_config { include ::vswitch::ovs ensure_packages('os-net-config', { ensure => present }) exec { 'os-net-config': command => '/bin/os-net-config -c /etc/os-net-config/config.json -v --detailed-exit-codes', returns => [0, 2], require => [ package['os-net-config'], package['openvswitch'], service['openvswitch'], ], } }",0,1,"class tripleo::network::os_net_config {\\\\\\\\\\\\n include ::vswitch::ovs ensure_packages('os-net-config', { ensure => present })\\\\\\\\\\\\\\\\\\\\nexec { 'os-net-config': command => '/bin/os-net-config -c /etc/os-net-config/config.json -v --detailed-exit-codes', returns => [0, 2], require => [ package['os-net-config'], package['openvswitch'], service['openvswitch'], ], }, class tripleo::network::os_net_config {\\\\\\\\\\\\n include ::vswitch::ovs ensure_packages('os-net-config', { ensure => present })\\\\\\\\\\\\nexec { 'os-net-config': command => '/bin/os-net-config -c /etc/os-net-config/config.json -v --detailed-exit-codes', returns => [0, 2], require => [ package['os-net-config'], package['openvswitch'], service['openvswitch'], ], }, class tripleo::network::os_net_config {\\\\n include ::vswitch::ovs ensure_packages('os-net-config', { ensure => present })\\\\\\\\nexec { 'os-net-config': command => '/bin/os-net-config -c /etc/os-net-config/config.json -v --detailed-exit-codes', returns => [0, 2], require => [ package['os-net-config'], package['openvswitch'], service['openvswitch'], ], }, class tripleo::network::os_net_config {\\n include ::vswitch::ovs ensure_packages('os-net-config', { ensure => present })\\\\nexec { 'os-net-config': command => '/bin/os-net-config -c /etc/os-net-config/config.json -v --detailed-exit-codes', returns => [0, 2], require => [ package['os-net-config'], package['openvswitch'], service['openvswitch'], ], }, class tripleo::network::os_net_config {\n include ::vswitch::ovs, ensure_packages('os-net-config', { ensure => present })\\nexec { 'os-net-config': command => '/bin/os-net-config -c /etc/os-net-config/config.json -v --detailed-exit-codes',, include ::vswitch::ovs ensure_packages('os-net-config', { ensure => present })\\\\\\\\\\\\nexec { 'os-net-config': command => '/bin/os-net-config -c /etc/os-net-config/config.json -v --detailed-exit-codes', returns => [0, 2], require => [ package['os-net-config'], package['openvswitch'], service['openvswitch'], ], }, include ::vswitch::ovs ensure_packages('os-net-config', { ensure => present })\\\\nexec { 'os-net-config': command => '/bin/os-net-config -c /etc/os-net-config/config.json -v --detailed-exit-codes', returns => [0, 2], require => [ package['os-net-config'], package['openvswitch'], service['openvswitch'], ], }, return [0, 2], require => [ package['os-net-config'], package['openvswitch'], service['openvswitch'], ], }",CWE-20,"{'reason': 'Puppet code could be easily modified in order to obtain root access. \\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n\\n', 'related_cwe': 'CWE-20', 'is_misconfiguration_related': 'Yes'}"
349,"class role::mobilefrontend { require ::role::mediawiki include ::role::eventlogging include ::role::pageimages include ::role::textextracts mediawiki::extension { 'mobilefrontend': settings => { wgmflogevents => true, wgmfautodetectmobileview => true, wgmfnearby => true, wgmfenablebeta => true, }, browser_tests => true, } mediawiki::wiki{ 'mobile': } mediawiki::settings { 'alwaysmobileskin': wiki => 'mobile', values => { wgmfautodetectmobileview => false, wgmfmobileheader => 'host', wgmobileurltemplate => ""mobile${::mediawiki::multiwiki::base_domain}"", }, } }",0,1,"mediawiki::extension, mediawiki::settings, mediawiki::wiki","CWE-20, CWE-798","{'reason': 'MobileFrontend is an extension that provides a mobile-optimized interface to Wikipedia.', 'related_cwe': 'CWE-20, CWE-798', 'is_misconfiguration_related': 'Yes'}"
350,"class lma_collector::collectd::ceph_mon { lma_collector::collectd::python { ['ceph_pg_mon_status', 'ceph_pool_osd', 'ceph_osd_stats']: config => {}, } }",1,1,"ceph_mon, ceph_osd_stats, ceph_pg_mon_status, ceph_pool_osd, config, lma_collector::collectd::ceph_mon, lma_collector::collectd::python","CWE-732, CWE-772","{'reason': 'Ceph Monitors are used by the Cluster to keep track of the health of the OSDs. This is a system wide value that is used by multiple cluster services.', 'related_cwe': 'CWE-732, CWE-772', 'is_misconfiguration_related': 'Yes'}"
351,"class packages::procmail { case $::operatingsystem { centos: { package { ""procmail"": ensure => latest; } } default: { fail(""cannot install on $::operatingsystem"") } } }",0,1,"package {\\\, package {\\\\, package {\\\\\\, package {\\\\\\\\n\\\\n\\n, package {\\\\n\\n\n, package {\\n, package {\\n\\n, package {\\n\n, package {\n",CWE-306,"{'reason': 'This is a clear cut case of CWE-306: Missing Authentication for Critical Control. This is related to the vulnerability CWE-306.', 'related_cwe': 'CWE-306', 'is_misconfiguration_related': 'Yes'}"
352,"class mellanox_openstack::snapshot_patch { $libvirt_driver_file = $::mellanox_openstack::params::libvirt_driver_file $compute_service_name = $::mellanox_openstack::params::compute_service_name $sriov_patch_file = ""/tmp/sriov.patch"" file { $sriov_patch_file : source => ""puppet:///modules/mellanox_openstack/sriov.patch"", notify => exec[""apply-snapshot-patch""], } exec { ""apply-snapshot-patch"" : command => ""patch $libvirt_driver_file $sriov_patch_file"", unless => ""grep -i 'hostdev' $libvirt_driver_file | grep -q -i vif"", path => [""/bin"", ""/usr/bin"", ""/usr/sbin"", ""/usr/local/bin"", ""/sbin""], refreshonly => true, notify => service[$compute_service_name] } }",1,1,"command =>, file { $sriov_patch_file, grep -q -i vif, notify =>, notify => service[$compute_service_name], path => [\, refreshonly => true, service[$compute_service_name], unless =>",CWE-22,"{'reason': ""Puppet's exec resource should use the exec function instead of the command parameter, because it does not check the exit code of the command"", 'related_cwe': 'CWE-22', 'is_misconfiguration_related': 'Yes'}"
353,"class role::categorytree { mediawiki::extension { 'categorytree': settings => { wguseajax => true, } } }",0,1,"class role::categorytree { mediawiki::extension { 'categorytree': settings => { wguseajax => true, } } }","CWE-120, CWE-284, CWE-94","{'reason': ""This misconfiguration is related to CWE-120 because the misconfiguration is allowing the wguseajax parameter in the categorytree settings which can be exploited by a cross-site scripting attack, allowing an attacker to execute arbitrary JavaScript code on the user's browser."", 'related_cwe': 'CWE-120', 'is_misconfiguration_related': 'Yes'}"
