File.ID,Script.Content,Defect.Label,,misconfigured_snippet,related_cwe,misconfiguration_label,verification
11,class { '::osnailyfacter::virtual_ips::virtual_ips' :},1,,,,0,1
12,"class keystone::ldap( $url = undef, $user = undef, $password = undef, $suffix = undef, $query_scope = undef, $page_size = undef, $user_tree_dn = undef, $user_filter = undef, $user_objectclass = undef, $user_id_attribute = undef, $user_name_attribute = undef, $user_mail_attribute = undef, $user_enabled_attribute = undef, $user_enabled_mask = undef, $user_enabled_default = undef, $user_enabled_invert = undef, $user_attribute_ignore = undef, $user_default_project_id_attribute = undef, $user_allow_create = undef, $user_allow_update = undef, $user_allow_delete = undef, $user_pass_attribute = undef, $user_enabled_emulation = undef, $user_enabled_emulation_dn = undef, $user_additional_attribute_mapping = undef, $project_tree_dn = undef, $project_filter = undef, $project_objectclass = undef, $project_id_attribute = undef, $project_member_attribute = undef, $project_desc_attribute = undef, $project_name_attribute = undef, $project_enabled_attribute = undef, $project_domain_id_attribute = undef, $project_attribute_ignore = undef, $project_allow_create = undef, $project_allow_update = undef, $project_allow_delete = undef, $project_enabled_emulation = undef, $project_enabled_emulation_dn = undef, $project_additional_attribute_mapping= undef, $role_tree_dn = undef, $role_filter = undef, $role_objectclass = undef, $role_id_attribute = undef, $role_name_attribute = undef, $role_member_attribute = undef, $role_attribute_ignore = undef, $role_allow_create = undef, $role_allow_update = undef, $role_allow_delete = undef, $role_additional_attribute_mapping = undef, $group_tree_dn = undef, $group_filter = undef, $group_objectclass = undef, $group_id_attribute = undef, $group_name_attribute = undef, $group_member_attribute = undef, $group_desc_attribute = undef, $group_attribute_ignore = undef, $group_allow_create = undef, $group_allow_update = undef, $group_allow_delete = undef, $group_additional_attribute_mapping = undef, $use_tls = undef, $tls_cacertdir = undef, $tls_cacertfile = undef, $tls_req_cert = undef, $identity_driver = undef, $assignment_driver = undef, $credential_driver = undef, $use_pool = false, $pool_size = 10, $pool_retry_max = 3, $pool_retry_delay = 0.1, $pool_connection_timeout = -1, $pool_connection_lifetime = 600, $use_auth_pool = false, $auth_pool_size = 100, $auth_pool_connection_lifetime = 60, $package_ensure = present, $manage_packages = true, ) { include ::keystone::deps if $manage_packages { $ldap_packages = ['python-ldap', 'python-ldappool'] ensure_resource('package', $ldap_packages, { ensure => $package_ensure, tag => 'keystone-package' }) } if ($tls_cacertdir != undef) { file { $tls_cacertdir: ensure => directory } } keystone_config { 'ldap/url': value => $url; 'ldap/user': value => $user; 'ldap/password': value => $password, secret => true; 'ldap/suffix': value => $suffix; 'ldap/query_scope': value => $query_scope; 'ldap/page_size': value => $page_size; 'ldap/user_tree_dn': value => $user_tree_dn; 'ldap/user_filter': value => $user_filter; 'ldap/user_objectclass': value => $user_objectclass; 'ldap/user_id_attribute': value => $user_id_attribute; 'ldap/user_name_attribute': value => $user_name_attribute; 'ldap/user_mail_attribute': value => $user_mail_attribute; 'ldap/user_enabled_attribute': value => $user_enabled_attribute; 'ldap/user_enabled_mask': value => $user_enabled_mask; 'ldap/user_enabled_default': value => $user_enabled_default; 'ldap/user_enabled_invert': value => $user_enabled_invert; 'ldap/user_attribute_ignore': value => $user_attribute_ignore; 'ldap/user_default_project_id_attribute': value => $user_default_project_id_attribute; 'ldap/user_allow_create': value => $user_allow_create; 'ldap/user_allow_update': value => $user_allow_update; 'ldap/user_allow_delete': value => $user_allow_delete; 'ldap/user_pass_attribute': value => $user_pass_attribute; 'ldap/user_enabled_emulation': value => $user_enabled_emulation; 'ldap/user_enabled_emulation_dn': value => $user_enabled_emulation_dn; 'ldap/user_additional_attribute_mapping': value => $user_additional_attribute_mapping; 'ldap/project_tree_dn': value => $project_tree_dn; 'ldap/project_filter': value => $project_filter; 'ldap/project_objectclass': value => $project_objectclass; 'ldap/project_id_attribute': value => $project_id_attribute; 'ldap/project_member_attribute': value => $project_member_attribute; 'ldap/project_desc_attribute': value => $project_desc_attribute; 'ldap/project_name_attribute': value => $project_name_attribute; 'ldap/project_enabled_attribute': value => $project_enabled_attribute; 'ldap/project_attribute_ignore': value => $project_attribute_ignore; 'ldap/project_domain_id_attribute': value => $project_domain_id_attribute; 'ldap/project_allow_create': value => $project_allow_create; 'ldap/project_allow_update': value => $project_allow_update; 'ldap/project_allow_delete': value => $project_allow_delete; 'ldap/project_enabled_emulation': value => $project_enabled_emulation; 'ldap/project_enabled_emulation_dn': value => $project_enabled_emulation_dn; 'ldap/project_additional_attribute_mapping': value => $project_additional_attribute_mapping; 'ldap/role_tree_dn': value => $role_tree_dn; 'ldap/role_filter': value => $role_filter; 'ldap/role_objectclass': value => $role_objectclass; 'ldap/role_id_attribute': value => $role_id_attribute; 'ldap/role_name_attribute': value => $role_name_attribute; 'ldap/role_member_attribute': value => $role_member_attribute; 'ldap/role_attribute_ignore': value => $role_attribute_ignore; 'ldap/role_allow_create': value => $role_allow_create; 'ldap/role_allow_update': value => $role_allow_update; 'ldap/role_allow_delete': value => $role_allow_delete; 'ldap/role_additional_attribute_mapping': value => $role_additional_attribute_mapping; 'ldap/group_tree_dn': value => $group_tree_dn; 'ldap/group_filter': value => $group_filter; 'ldap/group_objectclass': value => $group_objectclass; 'ldap/group_id_attribute': value => $group_id_attribute; 'ldap/group_name_attribute': value => $group_name_attribute; 'ldap/group_member_attribute': value => $group_member_attribute; 'ldap/group_desc_attribute': value => $group_desc_attribute; 'ldap/group_attribute_ignore': value => $group_attribute_ignore; 'ldap/group_allow_create': value => $group_allow_create; 'ldap/group_allow_update': value => $group_allow_update; 'ldap/group_allow_delete': value => $group_allow_delete; 'ldap/group_additional_attribute_mapping': value => $group_additional_attribute_mapping; 'ldap/use_tls': value => $use_tls; 'ldap/tls_cacertdir': value => $tls_cacertdir; 'ldap/tls_cacertfile': value => $tls_cacertfile; 'ldap/tls_req_cert': value => $tls_req_cert; 'ldap/use_pool': value => $use_pool; 'ldap/pool_size': value => $pool_size; 'ldap/pool_retry_max': value => $pool_retry_max; 'ldap/pool_retry_delay': value => $pool_retry_delay; 'ldap/pool_connection_timeout': value => $pool_connection_timeout; 'ldap/pool_connection_lifetime': value => $pool_connection_lifetime; 'ldap/use_auth_pool': value => $use_auth_pool; 'ldap/auth_pool_size': value => $auth_pool_size; 'ldap/auth_pool_connection_lifetime': value => $auth_pool_connection_lifetime; 'identity/driver': value => $identity_driver; 'credential/driver': value => $credential_driver; 'assignment/driver': value => $assignment_driver; } }",1,,"ldap/password': value => $password, secret => true;",CWE-260,1,1
13,"class ceilometer::config ( $ceilometer_config = {}, $ceilometer_api_paste_ini = {}, ) { validate_hash($ceilometer_config) validate_hash($ceilometer_api_paste_ini) create_resources('ceilometer_config', $ceilometer_config) create_resources('ceilometer_api_paste_ini', $ceilometer_api_paste_ini) }",0,,,,0,1
14,"define npm::global { require ::npm exec { ""npm_global_${title}"": command => ""/usr/bin/npm install -g ${title}"", user => 'root', group => 'root', creates => ""/usr/lib/node_modules/${title}"", environment => [ ""npm_config_cache=${::npm::cache_dir}"", 'npm_config_global=false', 'link=g++', ], } }",1,,"user => 'root', group => 'root'",CWE-250,1,1
15,"define l23network::l3::route ( $destination, $gateway, $metric = undef, $vendor_specific = undef, $by_network_scheme = false, $provider = undef, $ensure = 'present', ) { include ::l23network::params $r_name = get_route_resource_name($destination, $metric) if ! defined (l3_route[$r_name]) { if $provider { $config_provider = ""${provider}_${::l23_os}"" } else { $config_provider = undef } l3_route { $r_name : ensure => $ensure, destination => $destination, gateway => $gateway, metric => $metric, vendor_specific => $vendor_specific, provider => $provider } if ! $by_network_scheme { l3_ifconfig<||> -> l3_route<||> } } anchor['l23network::init'] -> l3_route<||> }",1,,,,0,1
16,"define nova::manage::floating ( $network ) { include ::nova::deps nova_floating { $name: ensure => present, network => $network, provider => 'nova_manage', } }",0,,,,0,1
17,"class runner::tasks::restart_services($runlevel=99) { include runner $service_names = """" file { ""/opt/runner/tasks.d/2-restart_services"": ensure => absent, } file { ""/opt/runner/tasks.d/100-restart_services"": ensure => absent, } runner::task { ""${runlevel}-restart_services"": content => template(""${module_name}/tasks/restart_services.erb""); } }",1,,,,0,1
18,"class puppetmaster::puppetsync_user { include puppetmaster::settings $homedir = $puppetmaster::settings::puppetsync_home case $::operatingsystem { centos, ubuntu: { user { 'puppetsync': managehome => true, home => $homedir, password => '*', comment => ""synchronizes data beteween puppet masters""; } } default: { fai(""no support for $::operatingsystem"") } } file { ""${homedir}"": ensure => directory, owner => puppetsync, group => puppetsync, mode => ""0700"", purge => true, recurse => true, force => true, require => user['puppetsync']; ""${homedir}/.ssh"": owner => puppetsync, group => puppetsync, mode => ""0700"", ensure => directory; ""${homedir}/.ssh/known_hosts"": ensure => absent; ""${homedir}/.ssh/config"": content => template(""${module_name}/puppetsync_ssh_config.erb""), owner => puppetsync, group => puppetsync, mode => ""0600""; } $privkey = ""/var/lib/puppet/.puppetsync_rsa"" $pubkey = ""/var/lib/puppet/.puppetsync_rsa.pub"" if ($::puppetmaster::settings::is_distinguished) { exec { 'create-puppetsync-private-key': command => ""/usr/bin/ssh-keygen -f $privkey -n ''"", logoutput => true, creates => $privkey; } $puppetsync_pubkey = file($pubkey) file { ""${homedir}/.ssh/authorized_keys"": content => template(""${module_name}/puppetsync_authorized_keys.erb""), owner => puppetsync, group => puppetsync, mode => ""0600""; } } else { file { ""${homedir}/.ssh/puppetsync_rsa"": owner => puppetsync, group => puppetsync, mode => ""0600"", content => file($privkey), show_diff => false; } } file { $privkey: owner => puppet, group => puppet, mode => ""0600"", content => file($privkey), show_diff => false; $pubkey: owner => puppet, group => puppet, mode => ""0600"", content => file($pubkey); } }",1,,password => '*',CWE-259,1,1
19,"class ceilometer::logging( $use_syslog = $::os_service_default, $use_stderr = $::os_service_default, $log_facility = $::os_service_default, $log_dir = '/var/log/ceilometer', $debug = $::os_service_default, $logging_context_format_string = $::os_service_default, $logging_default_format_string = $::os_service_default, $logging_debug_format_suffix = $::os_service_default, $logging_exception_prefix = $::os_service_default, $log_config_append = $::os_service_default, $default_log_levels = $::os_service_default, $publish_errors = $::os_service_default, $fatal_deprecations = $::os_service_default, $instance_format = $::os_service_default, $instance_uuid_format = $::os_service_default, $log_date_format = $::os_service_default, $verbose = undef, ) { $use_syslog_real = pick($::ceilometer::use_syslog,$use_syslog) $use_stderr_real = pick($::ceilometer::use_stderr,$use_stderr) $log_facility_real = pick($::ceilometer::log_facility,$log_facility) $log_dir_real = pick($::ceilometer::log_dir,$log_dir) $debug_real = pick($::ceilometer::debug,$debug) if $verbose { warning('verbose is deprecated, has no effect and will be removed after newton cycle.') } oslo::log { 'ceilometer_config': debug => $debug_real, use_stderr => $use_stderr_real, use_syslog => $use_syslog_real, log_dir => $log_dir_real, syslog_log_facility => $log_facility_real, logging_context_format_string => $logging_context_format_string, logging_default_format_string => $logging_default_format_string, logging_debug_format_suffix => $logging_debug_format_suffix, logging_exception_prefix => $logging_exception_prefix, log_config_append => $log_config_append, default_log_levels => $default_log_levels, publish_errors => $publish_errors, fatal_deprecations => $fatal_deprecations, instance_format => $instance_format, instance_uuid_format => $instance_uuid_format, log_date_format => $log_date_format, } }",1,,,,0,1
20,"define cinder::type_set ( $type, $key, $value = $name, $os_password = undef, $os_tenant_name = undef, $os_username = undef, $os_auth_url = undef, $os_region_name = undef, ) { if $os_password or $os_region_name or $os_tenant_name or $os_username or $os_auth_url { warning('parameters $os_password/$os_region_name/$os_tenant_name/$os_username/$os_auth_url are not longer required.') warning('auth creds will be used from env or /root/openrc file or cinder.conf') } cinder_type { $type: ensure => present, properties => [""${key}=${value}""], } }",0,,,,0,1
21,"class ceph::mds ( $mds_activate = true, $mds_data = '/var/lib/ceph/mds/$cluster-$id', $keyring = '/var/lib/ceph/mds/$cluster-$id/keyring', ) { if $mds_activate { ceph_config { 'mds/mds_data': value => $mds_data; 'mds/keyring': value => $keyring; } } else { ceph_config { 'mds/mds_data': ensure => absent; 'mds/keyring': ensure => absent; } } }",0,,,,0,1
